,Joe Symmon,Richard William Aguirre,"Charles ""Chuck"" Pineda, Jr.",Peter Schurman,Lowell Darling,Vibert Greene,"Edmund G. ""Jerry"" Brown",Nadia B. Smalley,Bill Chambers,Robert C. Newman II,Steve Poizner,Meg Whitman,Douglas R. Hughes,"Lawrence ""Larry"" Naritelli",Ken Miller,David Tully-Smith,Steven Paul Mozena,Chelene Nightingale,Markham Robinson,S. Deacon Alexander,Laura Wells,Dale F. Ogden,Mohammad Arif,Carlos Alvarez,Stewart A. Alexander
  Percent,3.5%,5.0%,4.6%,1.4%,2.4%,4.1%,79.0%,0.0%,3.3%,4.4%,26.9%,57.7%,1.7%,3.5%,1.6%,0.9%,0.0%,56.3%,43.7%,22.2%,77.8%,100.0%,33.3%,66.7%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,"1,013","1,932","2,936",662,620,"1,200","20,081",2,"1,143","1,578","19,482","33,137","1,081","1,564","1,327",492,0,534,377,24,78,303,10,18,18
  Percent,3.5%,6.8%,10.4%,2.3%,2.1%,4.3%,70.6%,0.0%,1.9%,2.6%,32.6%,55.5%,1.8%,2.6%,2.2%,0.8%,0.0%,58.7%,41.3%,23.5%,76.5%,100.0%,21.7%,39.2%,39.1%
,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,256,348,561,144,120,201,"3,766",0,192,271,"3,486","4,942",83,288,197,84,0,102,82,7,11,38,1,1,1
  Percent,4.8%,6.5%,10.4%,2.6%,2.2%,3.7%,69.8%,0.0%,2.0%,2.9%,36.6%,51.8%,0.8%,3.1%,2.0%,0.8%,0.0%,55.5%,44.5%,38.8%,61.2%,100.0%,33.4%,33.3%,33.3%
,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,213,229,256,75,160,133,"6,108",0,119,172,952,"4,198",106,171,69,68,0,166,94,22,106,66,2,9,10
  Percent,3.0%,3.2%,3.6%,1.0%,2.2%,1.8%,85.2%,0.0%,2.0%,3.0%,16.3%,71.7%,1.8%,3.0%,1.1%,1.1%,0.0%,63.9%,36.1%,17.1%,82.9%,100.0%,9.5%,42.8%,47.7%
,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,54,122,115,38,55,72,"1,425",0,141,216,"1,022","1,898",120,167,86,96,0,104,58,3,10,24,0,0,1
  Percent,2.8%,6.5%,6.2%,2.0%,2.9%,3.8%,75.8%,0.0%,3.8%,5.8%,27.3%,50.7%,3.2%,4.5%,2.2%,2.5%,0.0%,64.2%,35.8%,23.0%,77.0%,100.0%,0.0%,0.0%,100.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,"12,171","22,446","20,683","9,631","9,442","11,384","422,306",9,"4,917","5,133","90,784","240,191","3,677","6,299","5,220","4,225",4,"3,352","2,465",677,"2,068","2,484",138,437,332
  Percent,2.4%,4.5%,4.1%,1.8%,1.8%,2.2%,83.2%,0.0%,1.3%,1.4%,25.2%,66.7%,1.0%,1.8%,1.5%,1.1%,0.0%,57.7%,42.3%,24.6%,75.4%,100.0%,15.2%,48.2%,36.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,320,408,686,160,201,255,"5,305",0,193,211,"4,810","7,582",145,317,477,121,0,181,101,12,44,63,1,12,6
  Percent,4.4%,5.6%,9.4%,2.1%,2.7%,3.4%,72.4%,0.0%,1.3%,1.5%,34.8%,54.8%,1.0%,2.3%,3.5%,0.8%,0.0%,64.2%,35.8%,21.4%,78.6%,100.0%,5.2%,63.2%,31.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,322,710,472,211,361,436,"42,300",2,246,138,"4,568","13,837",109,326,72,283,0,168,142,109,412,233,10,23,16
  Percent,0.7%,1.6%,1.1%,0.4%,0.8%,1.0%,94.4%,0.0%,1.2%,0.7%,23.4%,70.7%,0.5%,1.7%,0.3%,1.5%,0.0%,54.2%,45.8%,20.9%,79.1%,100.0%,20.4%,47.0%,32.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,42,86,117,36,39,43,"1,565",0,63,87,"1,105","2,011",53,59,58,32,0,65,31,16,28,33,0,1,1
  Percent,2.1%,4.5%,6.1%,1.8%,2.0%,2.3%,81.2%,0.0%,1.8%,2.6%,31.9%,58.0%,1.5%,1.7%,1.6%,0.9%,0.0%,67.8%,32.2%,36.3%,63.7%,100.0%,0.0%,50.0%,50.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,191,256,247,94,181,147,"10,648",0,133,122,901,"4,560",105,167,68,70,0,143,66,102,359,104,6,18,11
  Percent,1.7%,2.2%,2.1%,0.7%,1.5%,1.2%,90.6%,0.0%,2.1%,1.9%,14.8%,74.5%,1.7%,2.8%,1.1%,1.1%,0.0%,68.5%,31.5%,22.1%,77.9%,100.0%,17.1%,51.5%,31.4%
,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,283,520,801,334,202,294,"7,122",0,157,283,"3,575","7,648",131,252,232,121,0,190,107,12,46,45,1,5,10
  Percent,2.9%,5.5%,8.4%,3.5%,2.1%,3.0%,74.6%,0.0%,1.2%,2.3%,28.9%,61.7%,1.0%,2.1%,1.9%,0.9%,0.0%,64.0%,36.0%,20.6%,79.4%,100.0%,6.2%,31.2%,62.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,33,70,59,25,27,31,555,0,48,88,476,"1,175",51,49,13,23,0,44,19,2,3,19,0,0,2
  Percent,4.2%,8.8%,7.4%,3.1%,3.3%,3.8%,69.4%,0.0%,2.4%,4.6%,24.8%,61.2%,2.7%,2.6%,0.6%,1.1%,0.0%,69.9%,30.1%,40.0%,60.0%,100.0%,0.0%,0.0%,100.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,36,80,52,13,17,20,960,0,43,61,271,"1,015",36,53,22,18,0,36,19,4,18,14,0,2,2
  Percent,3.1%,6.8%,4.5%,1.1%,1.4%,1.6%,81.5%,0.0%,2.8%,4.1%,17.9%,66.9%,2.3%,3.5%,1.4%,1.1%,0.0%,65.5%,34.5%,18.1%,81.9%,100.0%,0.0%,50.0%,50.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,713,970,"1,349",325,446,612,"26,839",0,322,385,"5,764","13,795",262,324,320,295,0,266,205,50,186,167,5,16,12
  Percent,2.2%,3.2%,4.4%,1.0%,1.4%,1.9%,85.9%,0.0%,1.5%,1.8%,26.9%,64.3%,1.2%,1.6%,1.4%,1.3%,0.0%,56.5%,43.5%,21.1%,78.9%,100.0%,15.1%,48.5%,36.4%
,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,199,404,375,108,270,297,"13,123",0,220,144,"2,256","8,100",102,199,123,107,0,158,106,38,116,100,1,10,7
  Percent,1.3%,2.8%,2.5%,0.7%,1.8%,2.0%,88.9%,0.0%,2.0%,1.3%,20.1%,72.0%,0.9%,1.8%,1.0%,0.9%,0.0%,59.9%,40.1%,24.6%,75.4%,100.0%,5.5%,55.6%,38.9%
,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,175,277,332,170,124,189,"9,232",0,252,235,"4,186","9,953",170,373,187,167,0,133,96,51,193,128,4,7,8
  Percent,1.6%,2.7%,3.2%,1.6%,1.1%,1.8%,88.0%,0.0%,1.6%,1.5%,27.0%,64.2%,1.0%,2.5%,1.2%,1.0%,0.0%,58.1%,41.9%,20.9%,79.1%,100.0%,21.0%,36.8%,42.2%
,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,"4,808","8,261","7,385","2,609","3,193","5,067","102,160",5,"3,092","3,173","75,091","190,136","2,965","5,431","3,735","2,952",1,"1,840","1,337",208,601,"1,895",31,81,131
  Percent,3.6%,6.2%,5.6%,1.9%,2.3%,3.8%,76.6%,0.0%,1.0%,1.1%,26.3%,66.4%,1.0%,1.9%,1.3%,1.0%,0.0%,58.0%,42.0%,25.7%,74.3%,100.0%,12.7%,33.3%,54.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,450,"1,023","1,199",326,382,702,"22,329",0,946,666,"15,386","33,372",435,943,534,436,0,189,135,47,144,250,5,9,15
  Percent,1.7%,3.9%,4.6%,1.2%,1.4%,2.6%,84.6%,0.0%,1.8%,1.2%,29.2%,63.4%,0.8%,1.8%,1.0%,0.8%,0.0%,58.4%,41.6%,24.6%,75.4%,100.0%,17.2%,31.0%,51.8%
,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,60,116,101,43,38,86,"1,751",0,94,75,"1,043","2,165",36,68,44,38,0,71,25,3,18,29,0,4,0
  Percent,2.7%,5.3%,4.7%,1.9%,1.7%,3.9%,79.8%,0.0%,2.7%,2.1%,29.3%,60.8%,1.0%,1.9%,1.2%,1.0%,0.0%,74.0%,26.0%,14.2%,85.8%,100.0%,0.0%,100.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,"2,915","3,674","4,934","1,853","1,756","2,056","63,469",2,"1,633","2,419","33,960","93,218","1,616","2,673","2,812","1,037",0,"1,357",985,95,283,716,15,49,70
  Percent,3.7%,4.6%,6.2%,2.2%,2.1%,2.5%,78.7%,0.0%,1.1%,1.7%,24.4%,66.9%,1.1%,2.0%,2.1%,0.7%,0.0%,58.0%,42.0%,25.1%,74.9%,100.0%,11.1%,36.6%,52.3%
,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,"2,244","3,256","4,046","1,659","1,688","2,255","97,680",3,"1,703","1,580","31,989","61,177","1,109","2,051","1,620","1,124",5,"1,317",968,145,826,773,45,112,126
  Percent,2.0%,2.9%,3.6%,1.4%,1.5%,2.0%,86.6%,0.0%,1.7%,1.5%,31.3%,59.8%,1.0%,2.1%,1.6%,1.0%,0.0%,57.7%,42.3%,14.9%,85.1%,100.0%,15.9%,39.5%,44.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,122,217,271,47,126,110,"4,099",0,89,93,"1,208","2,752",54,69,52,40,0,44,55,7,22,18,0,4,2
  Percent,2.4%,4.3%,5.5%,0.9%,2.5%,2.2%,82.2%,0.0%,2.1%,2.2%,27.8%,63.2%,1.2%,1.5%,1.1%,0.9%,0.0%,44.4%,55.6%,24.1%,75.9%,100.0%,0.0%,66.7%,33.3%
,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,"2,640","4,156","4,548","1,710","2,003","2,801","54,087",3,"1,924","2,399","29,253","68,843","1,329","2,391","3,905","1,176",0,"1,504","1,151",77,300,701,20,52,66
  Percent,3.7%,5.8%,6.4%,2.3%,2.7%,3.9%,75.2%,0.0%,1.7%,2.2%,26.4%,61.9%,1.1%,2.1%,3.6%,1.0%,0.0%,56.7%,43.3%,20.4%,79.6%,100.0%,14.4%,37.7%,47.9%
,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,"4,685","13,137","7,689","2,664","3,335","4,822","148,858",24,"3,407","3,441","70,237","170,349","2,633","11,668","3,119","2,582",4,"2,568","1,666",284,971,"1,982",46,132,126
  Percent,2.5%,7.1%,4.2%,1.4%,1.8%,2.6%,80.4%,0.0%,1.3%,1.3%,26.3%,63.7%,0.9%,4.4%,1.2%,0.9%,0.0%,60.7%,39.3%,22.6%,77.4%,100.0%,15.1%,43.5%,41.4%
,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,859,"1,876","1,177",873,967,"1,352","95,257",6,320,245,"5,813","13,812",181,356,246,222,0,352,314,353,"1,846",455,39,158,87
  Percent,0.8%,1.9%,1.1%,0.8%,0.9%,1.4%,93.1%,0.0%,1.6%,1.1%,27.5%,65.2%,0.8%,1.7%,1.1%,1.0%,0.0%,52.9%,47.1%,16.0%,84.0%,100.0%,13.7%,55.7%,30.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,856,"1,889","2,232",730,553,908,"28,154",0,677,"1,160","12,196","26,618",575,"1,042",737,447,0,469,348,33,104,200,10,17,18
  Percent,2.4%,5.4%,6.4%,2.0%,1.5%,2.5%,79.8%,0.0%,1.5%,2.7%,28.1%,61.3%,1.3%,2.4%,1.7%,1.0%,0.0%,57.5%,42.5%,24.0%,76.0%,100.0%,22.2%,37.7%,40.1%
,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,411,792,968,209,359,431,"22,040",0,624,737,"10,151","22,257",520,956,578,328,0,224,128,54,298,275,5,13,20
  Percent,1.6%,3.1%,3.9%,0.8%,1.4%,1.7%,87.5%,0.0%,1.7%,2.1%,28.1%,61.6%,1.4%,2.7%,1.5%,0.9%,0.0%,63.7%,36.3%,15.3%,84.7%,100.0%,13.1%,34.2%,52.7%
,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,784,"1,673","1,138",417,602,897,"61,203",9,395,239,"8,340","24,415",162,611,263,417,0,426,304,127,480,379,10,28,15
  Percent,1.1%,2.6%,1.7%,0.6%,0.9%,1.3%,91.8%,0.0%,1.2%,0.6%,24.0%,70.1%,0.4%,1.8%,0.7%,1.2%,0.0%,58.4%,41.6%,20.9%,79.1%,100.0%,18.8%,52.9%,28.3%
,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,570,"1,248","1,272",358,530,786,"29,959",2,426,582,"9,414","24,338",384,703,529,366,2,281,190,57,277,262,7,19,23
  Percent,1.6%,3.6%,3.7%,1.0%,1.5%,2.3%,86.3%,0.0%,1.1%,1.6%,25.7%,66.3%,1.0%,2.0%,1.4%,0.9%,0.0%,59.7%,40.3%,17.0%,83.0%,100.0%,14.2%,38.8%,47.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,"3,607","3,867","4,146","2,004","1,753","3,247","140,681",3,"1,623","1,467","25,534","68,782","1,268","2,106","1,565","1,690",0,"1,153","1,177",200,937,"1,135",37,92,136
  Percent,2.2%,2.4%,2.7%,1.2%,1.1%,2.0%,88.4%,0.0%,1.5%,1.4%,24.6%,66.2%,1.2%,2.0%,1.5%,1.6%,0.0%,49.4%,50.6%,17.5%,82.5%,100.0%,13.9%,34.7%,51.4%
,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,577,778,658,203,454,542,"28,664",0,290,286,"3,876","9,517",157,273,208,243,1,199,135,130,528,269,12,38,22
  Percent,1.8%,2.5%,2.0%,0.6%,1.4%,1.7%,90.0%,0.0%,2.0%,2.0%,26.1%,64.1%,1.0%,1.8%,1.4%,1.6%,0.0%,59.6%,40.4%,19.7%,80.3%,100.0%,16.6%,52.8%,30.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,406,581,643,194,369,409,"9,517",4,484,654,"7,075","15,372",362,914,459,265,2,243,177,19,82,149,2,8,15
  Percent,3.3%,4.8%,5.4%,1.6%,3.0%,3.3%,78.6%,0.0%,1.9%,2.6%,27.7%,60.1%,1.4%,3.6%,1.7%,1.0%,0.0%,57.9%,42.1%,18.8%,81.2%,100.0%,8.0%,32.0%,60.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,11,22,21,11,13,13,334,0,15,24,246,420,9,13,10,10,0,25,15,3,7,15,1,1,0
  Percent,2.5%,5.2%,5.0%,2.5%,3.1%,3.1%,78.6%,0.0%,2.0%,3.2%,33.0%,56.3%,1.2%,1.7%,1.3%,1.3%,0.0%,62.5%,37.5%,30.0%,70.0%,100.0%,50.0%,50.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,129,229,240,74,103,143,"3,487",0,189,305,"1,167","4,388",132,200,86,93,0,119,51,12,30,64,2,6,2
  Percent,2.9%,5.2%,5.5%,1.6%,2.3%,3.3%,79.2%,0.0%,2.8%,4.7%,17.8%,66.9%,2.0%,3.1%,1.3%,1.4%,0.0%,70.0%,30.0%,28.5%,71.5%,100.0%,20.0%,60.0%,20.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,677,871,"1,202",285,548,637,"30,700",1,404,439,"6,179","16,339",412,629,421,217,1,377,262,20,127,197,7,13,17
  Percent,1.9%,2.5%,3.5%,0.8%,1.5%,1.8%,88.0%,0.0%,1.6%,1.8%,24.7%,65.3%,1.6%,2.6%,1.6%,0.8%,0.0%,59.0%,41.0%,13.6%,86.4%,100.0%,18.9%,35.1%,46.0%
,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,911,"1,756","1,273",479,"1,043","1,127","64,209",0,722,617,"8,025","24,983",466,"1,028",352,541,0,529,340,284,957,454,21,84,54
  Percent,1.3%,2.5%,1.8%,0.6%,1.5%,1.6%,90.7%,0.0%,2.0%,1.7%,21.9%,68.1%,1.2%,2.8%,0.9%,1.4%,0.0%,60.9%,39.1%,22.8%,77.2%,100.0%,13.2%,52.9%,33.9%
,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,727,"1,707","1,936",418,523,874,"20,340",0,494,899,"10,944","20,306",462,698,641,279,0,320,196,28,75,161,5,12,19
  Percent,2.8%,6.5%,7.3%,1.5%,1.9%,3.3%,76.7%,0.0%,1.4%,2.6%,31.6%,58.5%,1.3%,2.0%,1.8%,0.8%,0.0%,62.1%,37.9%,27.1%,72.9%,100.0%,13.8%,33.4%,52.8%
,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,211,295,301,94,116,196,"3,637",0,163,271,"2,860","6,254",123,184,257,100,0,97,73,10,11,46,2,5,6
  Percent,4.4%,6.1%,6.3%,1.9%,2.3%,4.0%,75.0%,0.0%,1.5%,2.7%,28.1%,61.3%,1.2%,1.8%,2.5%,0.9%,0.0%,57.1%,42.9%,47.6%,52.4%,100.0%,15.3%,38.5%,46.2%
,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,187,298,287,95,111,185,"3,324",0,158,315,"2,296","4,743",119,186,308,87,0,178,132,8,23,68,3,6,2
  Percent,4.2%,6.7%,6.4%,2.1%,2.4%,4.1%,74.1%,0.0%,1.9%,3.9%,28.0%,57.8%,1.4%,2.2%,3.8%,1.0%,0.0%,57.5%,42.5%,25.8%,74.2%,100.0%,27.3%,54.6%,18.1%
,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,59,59,74,26,44,43,"1,282",0,71,47,476,"1,123",45,66,33,13,0,44,26,11,31,34,0,1,2
  Percent,3.8%,3.7%,4.7%,1.6%,2.7%,2.7%,80.8%,0.0%,3.8%,2.5%,25.5%,60.0%,2.4%,3.5%,1.7%,0.6%,0.0%,62.9%,37.1%,26.1%,73.9%,100.0%,0.0%,33.3%,66.7%
,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,403,996,"1,319",263,299,596,"9,626",3,339,753,"9,267","16,884",274,476,421,239,0,207,196,19,60,100,6,9,11
  Percent,2.9%,7.4%,9.8%,1.9%,2.2%,4.5%,71.3%,0.0%,1.1%,2.7%,32.4%,59.0%,0.9%,1.7%,1.4%,0.8%,0.0%,51.4%,48.6%,24.0%,76.0%,100.0%,23.0%,34.6%,42.4%
,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,126,228,309,73,77,141,"4,407",0,150,176,"2,427","5,083",119,204,180,79,1,143,68,16,51,82,1,4,6
  Percent,2.3%,4.3%,5.8%,1.3%,1.4%,2.6%,82.3%,0.0%,1.7%,2.0%,28.9%,60.4%,1.4%,2.5%,2.2%,0.9%,0.0%,67.8%,32.2%,23.8%,76.2%,100.0%,9.0%,36.4%,54.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,"1,668","2,089","2,498",755,981,"1,290","44,465",5,666,841,"20,176","50,812",646,"1,059",716,599,0,564,394,76,366,501,6,37,27
  Percent,3.1%,3.9%,4.7%,1.4%,1.8%,2.3%,82.8%,0.0%,0.8%,1.2%,26.8%,67.3%,0.8%,1.5%,0.9%,0.7%,0.0%,58.9%,41.1%,17.1%,82.9%,100.0%,8.5%,52.9%,38.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,333,406,426,151,239,251,"16,019",0,249,224,"3,462","7,359",163,203,139,128,0,116,111,44,199,107,5,12,9
  Percent,1.9%,2.3%,2.4%,0.8%,1.3%,1.4%,89.9%,0.0%,2.1%,1.9%,29.1%,61.8%,1.3%,1.7%,1.1%,1.0%,0.0%,51.2%,48.8%,18.1%,81.9%,100.0%,19.2%,46.2%,34.6%
,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,123,176,214,124,76,114,"2,492",0,96,118,"1,595","3,392",48,93,123,94,0,112,74,6,24,45,0,4,2
  Percent,3.7%,5.4%,6.5%,3.7%,2.2%,3.4%,75.1%,0.0%,1.7%,2.2%,28.7%,61.1%,0.8%,1.6%,2.3%,1.6%,0.0%,60.3%,39.7%,20.0%,80.0%,100.0%,0.0%,66.7%,33.3%
,,,,,,,,,,,,,,,,,,,,,,,,,
State Totals,"54,122","95,596","94,669","35,450","39,930","54,225","2,021,189",106,"34,243","38,462","632,940","1,529,534","26,085","54,202","36,609","24,978",26,"24,000","17,327","4,533","17,548","17,477",613,"1,906","1,693"
  Percent,2.3%,4.0%,4.0%,1.4%,1.6%,2.3%,84.4%,0.0%,1.4%,1.7%,26.7%,64.4%,1.0%,2.3%,1.5%,1.0%,0.0%,58.1%,41.9%,20.5%,79.5%,100.0%,14.5%,45.3%,40.2%
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
