,"Barbara 
Becnel","Phil 
Angelides","Vibert 
Greene","Steve 
Westly","Frank A. 
Macaluso, Jr.","Michael 
Strimling","Jerald Robert 
Gerst","Joe 
Brouillette","Bill 
Chambers","Jeffrey R. 
Burns","Arnold 
Schwarzenegger*","Robert C. 
Newman II","Edward C. 
Noonan","Peter Miguel 
Camejo","Art 
Olivier","Janice 
Jordan"
  Percent,2.9%,47.9%,1.8%,39.2%,1.7%,2.2%,2.1%,2.2%,7.6%,8.6%,77.3%,6.5%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
El Dorado,464,"6,399",242,"6,477",111,176,102,291,601,407,"19,669",455,259,299,149,22
  Percent,3.3%,44.9%,1.6%,45.5%,0.7%,1.2%,0.7%,2.1%,2.9%,1.9%,93.1%,2.1%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Fresno,"1,345","13,857",351,"25,400",514,628,280,678,"1,303","1,246","45,285","2,064",463,334,201,56
  Percent,3.2%,32.2%,0.8%,59.0%,1.1%,1.5%,0.6%,1.6%,2.6%,2.4%,90.8%,4.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Glenn,60,552,39,"1,316",40,52,42,63,100,108,"3,167",208,81,19,17,4
  Percent,2.7%,25.6%,1.8%,60.9%,1.8%,2.4%,1.9%,2.9%,2.7%,3.0%,88.4%,5.9%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Humboldt,548,"8,832",235,"7,817",165,338,159,421,559,533,"10,516",382,281,"1,692",231,54
  Percent,3.0%,47.8%,1.2%,42.3%,0.8%,1.8%,0.8%,2.3%,4.7%,4.4%,87.8%,3.1%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Imperial,606,"3,923",180,"2,639","1,011",210,273,467,309,254,"4,928",452,137,21,16,21
  Percent,6.5%,42.2%,1.9%,28.4%,10.9%,2.2%,2.9%,5.0%,5.1%,4.2%,83.0%,7.7%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Inyo,73,710,33,749,19,39,39,54,174,125,"2,137",147,71,37,27,6
  Percent,4.3%,41.4%,1.9%,43.7%,1.1%,2.2%,2.2%,3.2%,6.8%,4.8%,82.8%,5.6%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Kern,"1,166","11,277",536,"17,330",781,657,366,961,"1,978","1,695","52,710","2,258",757,177,292,31
  Percent,3.6%,34.1%,1.6%,52.4%,2.3%,1.9%,1.1%,3.0%,3.4%,2.8%,89.9%,3.9%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Kings,207,"1,614",72,"3,159",108,163,51,150,260,236,"6,472",494,89,16,19,0
  Percent,3.8%,29.3%,1.3%,57.2%,1.9%,2.9%,0.9%,2.7%,3.4%,3.1%,86.8%,6.7%,100.0%,100.0%,100.0%,0.0%
,,,,,,,,,,,,,,,,
Lake,205,"3,147",80,"2,847",95,136,53,119,238,154,"4,223",177,168,144,53,6
  Percent,3.1%,47.1%,1.1%,42.7%,1.4%,2.1%,0.7%,1.8%,5.0%,3.2%,88.2%,3.6%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Lassen,125,766,85,941,37,59,55,80,243,293,"2,517",202,101,13,24,3
  Percent,5.9%,35.7%,3.9%,43.9%,1.7%,2.7%,2.5%,3.7%,7.4%,9.0%,77.4%,6.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Los Angeles,"14,168","293,275","5,402","252,008","7,764","7,399","5,360","9,314","11,253","10,391","245,195","11,647","4,697","3,734","2,552",837
  Percent,2.4%,49.4%,0.9%,42.4%,1.3%,1.2%,0.9%,1.5%,4.0%,3.7%,88.1%,4.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Madera,280,"2,054",92,"3,810",84,136,83,164,377,337,"9,204",545,184,66,60,8
  Percent,4.2%,30.7%,1.3%,56.9%,1.2%,2.0%,1.2%,2.5%,3.6%,3.2%,88.0%,5.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Marin,697,"22,409",225,"19,375",218,502,156,577,560,343,"14,944",435,304,889,216,40
  Percent,1.6%,50.8%,0.5%,43.9%,0.4%,1.1%,0.3%,1.4%,3.5%,2.1%,91.8%,2.6%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Mariposa,51,824,42,848,22,56,16,48,131,125,"2,445",129,58,48,26,2
  Percent,2.6%,43.3%,2.2%,44.5%,1.1%,3.0%,0.8%,2.5%,4.7%,4.4%,86.4%,4.5%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Mendocino,364,"6,205",119,"4,656",99,236,64,213,314,276,"5,542",248,180,766,117,42
  Percent,3.1%,51.9%,0.9%,39.0%,0.8%,2.0%,0.5%,1.8%,5.0%,4.3%,86.9%,3.8%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Merced,332,"3,622",140,"5,565",140,145,116,174,372,337,"8,856",541,152,59,41,10
  Percent,3.3%,35.4%,1.3%,54.4%,1.3%,1.4%,1.1%,1.8%,3.6%,3.3%,87.7%,5.4%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Modoc,58,266,25,575,10,26,30,38,89,85,"1,565",134,53,11,17,3
  Percent,5.7%,25.9%,2.4%,56.0%,0.9%,2.5%,2.9%,3.7%,4.7%,4.5%,83.6%,7.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Mono,47,472,19,412,17,22,16,41,77,65,"1,172",70,29,23,19,3
  Percent,4.5%,45.2%,1.8%,39.4%,1.6%,2.1%,1.5%,3.9%,5.6%,4.6%,84.7%,5.1%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Monterey,"1,056","11,416",330,"12,989",415,477,256,547,474,562,"17,315",628,301,359,136,31
  Percent,3.9%,41.6%,1.2%,47.3%,1.5%,1.7%,0.9%,1.9%,2.4%,2.9%,91.3%,3.4%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Napa,318,"7,098",148,"7,503",185,173,126,214,321,462,"9,749",401,270,282,110,12
  Percent,2.1%,45.1%,0.9%,47.6%,1.2%,1.0%,0.7%,1.4%,2.9%,4.3%,89.2%,3.6%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Nevada,325,"5,038",146,"4,701",69,174,88,159,388,369,"12,590",359,217,485,129,13
  Percent,3.1%,47.1%,1.3%,44.0%,0.6%,1.7%,0.8%,1.4%,2.9%,2.6%,91.9%,2.6%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Orange,"4,274","57,719","2,164","54,623","2,188","2,301","1,474","3,317","6,289","5,735","196,812","6,939","2,114","1,041","1,594",244
  Percent,3.4%,45.1%,1.6%,42.7%,1.7%,1.8%,1.1%,2.6%,2.9%,2.6%,91.3%,3.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Placer,648,"12,529",339,"11,995",175,250,170,382,"1,280",840,"40,314",930,376,296,206,29
  Percent,2.5%,47.4%,1.2%,45.3%,0.6%,0.9%,0.6%,1.5%,3.0%,1.9%,93.0%,2.1%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Plumas,85,"1,062",39,983,35,48,37,58,124,88,"2,895",95,60,33,29,6
  Percent,3.7%,45.3%,1.6%,41.9%,1.4%,2.1%,1.5%,2.5%,3.9%,2.7%,90.5%,2.9%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Riverside,"2,334","35,697","1,023","32,640","1,678","1,094","1,006","1,452","3,371","3,014","90,315","3,869","1,350",402,536,113
  Percent,3.1%,46.5%,1.3%,42.5%,2.1%,1.4%,1.3%,1.8%,3.3%,2.9%,89.9%,3.9%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Sacramento,"1,802","56,846",835,"44,655",696,823,561,"1,119","2,545","1,685","71,574","1,968","1,093","1,181",576,233
  Percent,1.7%,53.0%,0.7%,41.7%,0.6%,0.7%,0.5%,1.1%,3.3%,2.1%,92.1%,2.5%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
San Benito,230,"2,181",60,"2,083",77,79,43,136,142,113,"3,360",122,79,40,28,5
  Percent,4.8%,44.7%,1.2%,42.7%,1.5%,1.6%,0.8%,2.7%,3.8%,3.0%,90.0%,3.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
San Bernardino,"2,385","34,319","1,050","31,570","1,164","1,321",851,"1,743","3,531","2,854","72,239","3,715","1,284",439,560,146
  Percent,3.3%,46.2%,1.4%,42.5%,1.5%,1.7%,1.1%,2.3%,4.2%,3.4%,87.8%,4.6%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
San Diego,"6,690","92,023","2,515","79,947","2,529","3,443","1,849","3,923","5,612","5,373","215,943","5,175","2,628","1,967","1,910",276
  Percent,3.5%,47.8%,1.3%,41.5%,1.3%,1.7%,0.9%,2.0%,2.4%,2.3%,93.1%,2.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
San Francisco,"2,546","55,509",504,"45,581",616,"1,219",353,"1,153",763,540,"15,066",724,732,"3,368",471,242
  Percent,2.4%,51.7%,0.4%,42.5%,0.5%,1.2%,0.3%,1.0%,4.5%,3.1%,88.2%,4.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
San Joaquin,"1,034","17,623",392,"14,985",460,498,487,609,"1,338",988,"32,367","1,752",480,173,171,35
  Percent,2.9%,48.9%,1.0%,41.6%,1.2%,1.4%,1.3%,1.7%,3.6%,2.7%,88.9%,4.8%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
San Luis Obispo,617,"12,136",215,"10,307",254,361,140,377,"1,096",851,"27,018","1,052",355,624,262,30
  Percent,2.6%,49.8%,0.8%,42.3%,1.0%,1.4%,0.5%,1.6%,3.6%,2.8%,90.1%,3.5%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
San Mateo,"1,363","36,022",576,"34,874",470,913,417,850,"1,108","1,038","27,114","1,028",540,938,366,63
  Percent,1.9%,47.8%,0.7%,46.2%,0.6%,1.2%,0.5%,1.1%,3.7%,3.4%,89.6%,3.3%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Santa Barbara,"1,060","18,302",403,"15,009",489,600,345,694,"1,093","1,028","33,376","1,264",409,692,263,45
  Percent,2.9%,49.6%,1.0%,40.7%,1.3%,1.7%,0.9%,1.9%,3.0%,2.7%,90.8%,3.5%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Santa Clara,"3,299","64,149","1,285","68,468","1,847","2,091",936,"1,964","3,313","2,804","72,455","3,248","1,821","1,524","1,176",177
  Percent,2.3%,44.6%,0.8%,47.6%,1.2%,1.5%,0.6%,1.4%,4.1%,3.4%,88.6%,3.9%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Santa Cruz,"1,180","16,649",362,"15,174",206,714,243,636,488,451,"11,986",452,354,"1,300",293,82
  Percent,3.4%,47.4%,1.0%,43.2%,0.5%,2.1%,0.6%,1.8%,3.7%,3.3%,89.7%,3.3%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Shasta,486,"4,098",248,"7,699",204,308,215,414,880,852,"18,412",899,425,127,139,19
  Percent,3.6%,30.0%,1.8%,56.4%,1.4%,2.2%,1.5%,3.1%,4.2%,4.0%,87.5%,4.3%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Sierra,19,165,11,192,9,8,6,22,33,23,586,16,22,11,15,1
  Percent,4.4%,38.2%,2.6%,44.5%,2.1%,1.8%,1.3%,5.1%,5.1%,3.4%,89.1%,2.4%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Siskiyou,238,"1,763",114,"1,895",63,134,84,166,239,239,"5,250",247,119,70,67,7
  Percent,5.4%,39.6%,2.5%,42.6%,1.4%,3.0%,1.8%,3.7%,4.0%,4.0%,87.9%,4.1%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Solano,885,"17,215",337,"15,293",469,374,183,497,768,687,"18,017",707,384,248,196,24
  Percent,2.6%,48.9%,0.9%,43.4%,1.3%,1.0%,0.5%,1.4%,3.8%,3.4%,89.3%,3.5%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Sonoma,"1,783","34,930",634,"31,561",702,"1,258",412,"1,398","1,567","1,502","29,641","1,515","1,164","2,032",516,164
  Percent,2.5%,48.1%,0.8%,43.5%,0.9%,1.7%,0.5%,2.0%,4.6%,4.3%,86.7%,4.4%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Stanislaus,932,"12,426",346,"12,937",383,366,417,451,"1,020",797,"25,746","1,664",440,135,137,46
  Percent,3.3%,44.0%,1.2%,45.8%,1.4%,1.2%,1.5%,1.6%,3.5%,2.7%,88.1%,5.7%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Sutter,173,"1,916",88,"2,122",79,64,103,146,240,176,"7,674",349,88,29,39,4
  Percent,3.7%,40.9%,1.8%,45.3%,1.6%,1.3%,2.2%,3.2%,2.8%,2.0%,91.0%,4.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Tehama,156,"1,357",110,"2,701",86,98,117,138,278,246,"5,730",320,190,25,52,17
  Percent,3.3%,28.5%,2.3%,56.8%,1.8%,2.0%,2.4%,2.9%,4.2%,3.7%,87.2%,4.9%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Trinity,79,630,33,844,38,51,27,73,118,95,"1,604",79,56,48,43,7
  Percent,4.5%,35.5%,1.8%,47.6%,2.1%,2.8%,1.5%,4.2%,6.3%,5.0%,84.6%,4.1%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Tulare,456,"4,700",216,"8,135",313,280,291,314,662,533,"20,880","1,018",289,124,80,12
  Percent,3.2%,32.0%,1.4%,55.4%,2.1%,1.9%,1.9%,2.1%,2.8%,2.3%,90.5%,4.4%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Tuolumne,176,"2,700",81,"2,655",66,79,48,101,214,217,"6,675",233,110,82,55,7
  Percent,3.0%,45.8%,1.3%,45.0%,1.1%,1.3%,0.8%,1.7%,2.9%,2.9%,91.0%,3.2%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Ventura,"1,222","26,054",629,"21,225",636,797,425,974,"1,736","1,767","51,270","1,974",664,563,429,71
  Percent,2.4%,50.2%,1.2%,40.9%,1.2%,1.5%,0.8%,1.8%,3.0%,3.1%,90.4%,3.5%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Yolo,307,"10,333",155,"8,147",262,175,93,205,338,242,"10,347",322,191,520,94,26
  Percent,1.6%,52.6%,0.7%,41.5%,1.4%,0.8%,0.4%,1.0%,3.1%,2.1%,92.0%,2.8%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
Yuba,124,"1,363",79,"1,690",61,66,64,122,153,176,"4,529",171,135,53,49,10
  Percent,3.5%,38.2%,2.2%,47.4%,1.7%,1.8%,1.7%,3.5%,3.0%,3.5%,90.1%,3.4%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
State Totals,"66,550","1,202,884","25,747","1,081,971","30,871","35,122","21,039","42,077","65,488","57,652","1,724,296","68,663","29,096","33,546","16,445","3,849"
  Percent,2.7%,48.0%,1.0%,43.2%,1.2%,1.4%,0.8%,1.7%,3.4%,3.0%,90.0%,3.6%,100.0%,100.0%,100.0%,100.0%
,,,,,,,,,,,,,,,,
