,Akinyemi Agbede,"Edmund G. ""Jerry"" Brown*",Glenn Champ,Tim Donnelly,Richard William Aguirre,Andrew Blount,Neel Kashkari,"Alma
Marie
Winston",Luis J. Rodriguez,Cindy L. Sheehan,Robert Newman,Rakesh Kumar Christian,"""Bo""
Bogdan Ambrozewicz","Joe
Leicht",Janel Hyeshia Buycks,Karen Jill Bernal,Jimelle L. Walls,Nickolas Wildstar
Kern,541,"23,681","2,460","19,998",532,"2,148","16,886",978,902,619,"1,135",263,262,156,392,0,0,1
  Percent,0.8%,33.4%,3.5%,28.2%,0.7%,3.0%,23.8%,1.4%,1.3%,0.9%,1.6%,0.4%,0.4%,0.2%,0.6%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Kings,95,"4,745",375,"3,136",90,489,"4,548",574,216,87,179,50,39,11,38,0,0,0
  Percent,0.6%,32.3%,2.6%,21.4%,0.6%,3.3%,31.0%,3.9%,1.5%,0.6%,1.2%,0.3%,0.3%,0.1%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Lake,185,"8,477",432,"2,133",83,523,"1,455",197,357,255,412,59,133,66,132,0,0,0
  Percent,1.2%,56.9%,2.9%,14.3%,0.6%,3.5%,9.8%,1.3%,2.4%,1.7%,2.8%,0.4%,0.9%,0.4%,0.9%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Lassen,32,"1,766",230,"1,810",37,188,"1,095",156,47,49,121,15,52,24,23,0,0,0
  Percent,0.6%,31.3%,4.1%,32.1%,0.7%,3.3%,19.4%,2.8%,0.8%,0.9%,2.1%,0.3%,0.9%,0.4%,0.4%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Los Angeles,"10,416","469,562","9,465","92,886","4,711","10,503","146,037","6,656","13,878","9,481","6,189","2,316","2,658","1,782","3,128",5,2,6
  Percent,1.3%,59.5%,1.2%,11.8%,0.6%,1.3%,18.5%,0.8%,1.8%,1.2%,0.8%,0.3%,0.3%,0.2%,0.4%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Madera,173,"5,859",710,"4,481",91,809,"5,408",116,246,150,363,99,92,39,76,0,0,0
  Percent,0.9%,31.3%,3.8%,23.9%,0.5%,4.3%,28.9%,0.6%,1.3%,0.8%,1.9%,0.5%,0.5%,0.2%,0.4%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Marin,179,"45,754",445,"3,974",351,578,"5,559",239,852,719,247,65,178,81,51,0,0,0
  Percent,0.3%,77.2%,0.8%,6.7%,0.6%,1.0%,9.4%,0.4%,1.4%,1.2%,0.4%,0.1%,0.3%,0.1%,0.1%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Mariposa,15,"1,656",176,"1,331",15,212,981,29,62,81,103,14,47,11,13,0,0,0
  Percent,0.3%,34.9%,3.7%,28.0%,0.3%,4.5%,20.7%,0.6%,1.3%,1.7%,2.2%,0.3%,1.0%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Mendocino,78,"10,805",369,"1,558",55,337,"1,090",295,517,500,179,31,63,33,44,0,0,0
  Percent,0.5%,67.7%,2.3%,9.8%,0.3%,2.1%,6.8%,1.8%,3.2%,3.1%,1.1%,0.2%,0.4%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Merced,342,"9,030",966,"5,115",181,425,"5,114",181,388,287,492,189,91,43,56,0,0,0
  Percent,1.5%,39.4%,4.2%,22.3%,0.8%,1.9%,22.3%,0.8%,1.7%,1.3%,2.1%,0.8%,0.4%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Modoc,21,683,217,973,18,154,319,61,48,34,117,3,25,12,12,0,0,0
  Percent,0.8%,25.3%,8.0%,36.1%,0.7%,5.7%,11.8%,2.3%,1.8%,1.3%,4.3%,0.1%,0.9%,0.4%,0.4%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Mono,30,"1,454",115,589,43,199,313,22,62,52,53,14,26,11,3,0,1,0
  Percent,1.0%,48.7%,3.9%,19.7%,1.4%,6.7%,10.5%,0.7%,2.1%,1.7%,1.8%,0.5%,0.9%,0.4%,0.1%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Monterey,243,"33,405",797,"5,849",194,"1,200","6,082",998,"1,042",903,412,70,115,164,94,0,0,0
  Percent,0.5%,64.8%,1.5%,11.3%,0.4%,2.3%,11.8%,1.9%,2.0%,1.8%,0.8%,0.1%,0.2%,0.3%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Napa,134,"17,744",543,"3,623",115,765,"2,900",219,380,264,275,49,85,44,73,0,0,0
  Percent,0.5%,65.2%,2.0%,13.3%,0.4%,2.8%,10.7%,0.8%,1.4%,1.0%,1.0%,0.2%,0.3%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Nevada,64,"13,404",340,"5,491",57,384,"5,379",397,530,356,243,50,133,54,45,0,0,0
  Percent,0.2%,49.8%,1.3%,20.4%,0.2%,1.4%,20.0%,1.5%,2.0%,1.3%,0.9%,0.2%,0.5%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Orange,"2,290","126,887","5,862","65,752","3,703","8,858","103,001","3,302","2,784","3,373","3,047",859,"1,006",938,674,1,0,4
  Percent,0.7%,38.2%,1.8%,19.8%,1.1%,2.7%,31.0%,1.0%,0.8%,1.0%,0.9%,0.3%,0.3%,0.3%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Placer,227,"29,749","1,491","14,369",181,"1,268","18,712",674,424,450,652,224,366,135,113,0,0,0
  Percent,0.3%,43.1%,2.2%,20.8%,0.3%,1.8%,27.1%,1.0%,0.6%,0.7%,0.9%,0.3%,0.5%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Plumas,20,"2,000",133,"1,215",22,143,"1,185",97,79,48,83,15,25,32,19,0,0,0
  Percent,0.4%,39.1%,2.6%,23.7%,0.4%,2.8%,23.2%,1.9%,1.5%,0.9%,1.6%,0.3%,0.5%,0.6%,0.4%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Riverside,"2,148","79,122","5,426","35,590","2,856","4,700","50,569","2,752","2,757","1,935","3,113",328,597,460,539,0,0,2
  Percent,1.1%,41.0%,2.8%,18.5%,1.5%,2.4%,26.2%,1.4%,1.4%,1.0%,1.6%,0.2%,0.3%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Sacramento,"1,546","112,411","2,048","30,030",717,"1,681","41,844","1,207","2,060","2,602","1,727",317,736,276,274,0,0,1
  Percent,0.8%,56.4%,1.0%,15.1%,0.4%,0.8%,21.0%,0.6%,1.0%,1.3%,0.9%,0.2%,0.4%,0.1%,0.1%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
San Benito,35,"4,144",192,"1,345",32,196,796,171,174,71,93,11,26,34,16,0,0,0
  Percent,0.5%,56.5%,2.6%,18.3%,0.4%,2.7%,10.9%,2.3%,2.4%,1.0%,1.3%,0.1%,0.4%,0.5%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
San Bernardino,"1,789","60,981","2,838","39,222","1,775","2,703","38,671","1,516","2,052","1,707","2,708",390,625,252,611,0,0,1
  Percent,1.1%,38.6%,1.8%,24.8%,1.1%,1.7%,24.5%,1.0%,1.3%,1.1%,1.7%,0.2%,0.4%,0.2%,0.4%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
San Diego,"3,034","190,802","7,250","55,935","5,769","12,852","113,871","5,535","4,914","2,597","3,239",944,"1,250",925,"1,154",1,0,1
  Percent,0.7%,46.5%,1.8%,13.6%,1.4%,3.1%,27.8%,1.3%,1.2%,0.6%,0.8%,0.2%,0.3%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
San Francisco,665,"101,463",859,"5,379",393,"2,095","4,436","1,223","4,683","2,300",654,211,212,188,380,0,0,0
  Percent,0.5%,81.1%,0.7%,4.3%,0.3%,1.7%,3.5%,1.0%,3.7%,1.8%,0.5%,0.2%,0.2%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
San Joaquin,704,"38,475","1,352","12,292",773,"1,631","18,536","1,016",979,944,"1,310",270,328,203,245,0,0,0
  Percent,0.9%,48.7%,1.7%,15.5%,1.0%,2.1%,23.4%,1.3%,1.2%,1.2%,1.7%,0.3%,0.4%,0.3%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
San Luis Obispo,207,"31,205","1,565","13,769",255,"2,251","8,842",333,550,694,529,119,205,111,110,0,0,0
  Percent,0.3%,51.4%,2.6%,22.7%,0.4%,3.7%,14.6%,0.5%,0.9%,1.1%,0.9%,0.2%,0.3%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
San Mateo,666,"67,492","1,999","8,622",443,"1,015","10,337",400,"1,282","1,176",573,138,266,144,160,1,0,0
  Percent,0.7%,71.3%,2.1%,9.1%,0.5%,1.1%,10.9%,0.4%,1.4%,1.2%,0.6%,0.1%,0.3%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Santa Barbara,525,"37,009","2,539","12,323",316,"2,002","13,153",390,839,844,699,151,289,131,141,0,0,0
  Percent,0.7%,51.9%,3.6%,17.3%,0.4%,2.8%,18.4%,0.5%,1.2%,1.2%,1.0%,0.2%,0.4%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Santa Clara,"2,212","175,472","3,362","24,783","2,972","4,517","25,607","2,880","3,381","3,700","2,541",746,876,479,517,2,0,0
  Percent,0.9%,69.1%,1.3%,9.8%,1.2%,1.8%,10.1%,1.1%,1.3%,1.5%,1.0%,0.3%,0.3%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Santa Cruz,208,"33,529",658,"4,640",180,882,"3,611",507,"1,185","1,450",417,66,122,138,72,1,0,0
  Percent,0.4%,70.3%,1.4%,9.7%,0.4%,1.9%,7.6%,1.1%,2.5%,3.0%,0.9%,0.1%,0.3%,0.3%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Shasta,141,"10,709","1,219","8,341",176,"1,246","4,745",857,424,451,640,75,233,144,140,0,0,0
  Percent,0.5%,36.3%,4.1%,28.2%,0.6%,4.2%,16.1%,2.9%,1.4%,1.5%,2.2%,0.3%,0.8%,0.5%,0.5%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Sierra,8,513,37,323,8,38,233,28,17,32,33,2,11,4,7,0,0,0
  Percent,0.6%,39.6%,2.9%,25.0%,0.6%,2.9%,18.0%,2.2%,1.3%,2.5%,2.6%,0.2%,0.9%,0.3%,0.5%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Siskiyou,92,"4,468",477,"3,240",48,460,"1,179",297,179,134,276,24,82,53,41,0,0,0
  Percent,0.8%,40.4%,4.3%,29.3%,0.4%,4.2%,10.7%,2.7%,1.6%,1.2%,2.5%,0.2%,0.7%,0.5%,0.4%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Solano,510,"32,791",837,"6,944",623,"1,147","7,651",578,542,741,559,114,154,111,116,0,0,0
  Percent,1.0%,61.4%,1.6%,13.0%,1.2%,2.1%,14.3%,1.1%,1.0%,1.4%,1.0%,0.2%,0.3%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Sonoma,613,"69,227","1,431","8,939",602,"1,650","7,839","1,152","1,858","1,437",913,183,472,230,218,0,0,0
  Percent,0.6%,71.5%,1.5%,9.2%,0.6%,1.7%,8.1%,1.2%,1.9%,1.5%,0.9%,0.2%,0.5%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Stanislaus,392,"25,298","1,246","10,304",991,"1,067","11,758",441,602,581,"1,090",234,188,106,115,0,0,0
  Percent,0.7%,46.5%,2.3%,18.9%,1.8%,2.0%,21.6%,0.8%,1.1%,1.1%,2.0%,0.4%,0.3%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Sutter,53,"5,612",351,"3,188",66,406,"4,589",126,62,108,137,110,33,15,67,0,0,0
  Percent,0.4%,37.6%,2.4%,21.4%,0.4%,2.7%,30.8%,0.8%,0.4%,0.7%,0.9%,0.7%,0.2%,0.1%,0.4%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Tehama,49,"4,228",615,"3,432",67,703,"2,441",151,90,196,299,49,83,49,136,1,0,0
  Percent,0.4%,33.6%,4.9%,27.3%,0.5%,5.6%,19.4%,1.2%,0.7%,1.6%,2.4%,0.4%,0.7%,0.4%,1.1%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Trinity,33,"1,486",165,818,21,184,291,191,130,93,100,17,55,13,20,0,0,0
  Percent,0.9%,41.1%,4.6%,22.6%,0.6%,5.1%,8.0%,5.3%,3.6%,2.6%,2.8%,0.5%,1.5%,0.4%,0.6%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Tulare,580,"13,447","1,170","10,283","1,096",943,"12,425",427,635,422,813,92,135,85,123,0,0,0
  Percent,1.4%,31.5%,2.7%,24.1%,2.6%,2.2%,29.1%,1.0%,1.5%,1.0%,1.9%,0.2%,0.3%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Tuolumne,32,"5,300",285,"2,357",46,406,"2,858",90,81,149,161,43,51,19,21,0,0,0
  Percent,0.3%,44.5%,2.4%,19.8%,0.4%,3.4%,24.0%,0.8%,0.7%,1.3%,1.4%,0.4%,0.4%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Ventura,596,"46,478","2,026","16,764",473,"1,651","28,172","1,096","1,183","1,310",882,168,312,188,157,0,0,1
  Percent,0.6%,45.8%,2.0%,16.5%,0.5%,1.6%,27.8%,1.1%,1.2%,1.3%,0.9%,0.2%,0.3%,0.2%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Yolo,156,"20,891",424,"2,966",102,433,"5,719",198,539,419,274,60,97,38,58,0,0,0
  Percent,0.5%,64.5%,1.3%,9.2%,0.3%,1.3%,17.7%,0.6%,1.7%,1.3%,0.8%,0.2%,0.3%,0.1%,0.2%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
Yuba,51,"3,224",183,"1,874",29,299,"2,452",82,70,119,93,49,28,12,37,0,0,0
  Percent,0.6%,37.5%,2.1%,21.8%,0.3%,3.5%,28.5%,1.0%,0.8%,1.4%,1.1%,0.6%,0.3%,0.1%,0.4%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
State Totals,"37,024","2,354,769","76,066","643,236","35,125","89,749","839,767","46,042","66,872","52,707","44,120","11,142","14,929","9,307","12,136",17,3,17
  Percent,0.9%,54.3%,1.8%,14.8%,0.8%,2.1%,19.4%,1.1%,1.5%,1.2%,1.0%,0.3%,0.3%,0.2%,0.3%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
