,Gray Davis*,Bill Simon,Reinhold Gulke,Peter Miguel Camejo,Gary David Copeland,Iris Adam,Anselmo A. Chavez,Will B. King,Rob Marinko,Nick Jesson,James F. Stewart,Nick Hoogoian,Jim Mallon,F. Nan Bailey,Debbie Jo Terzoli,Votes not Cast in Race
  Percent,46.8% ,40.7% ,2.8% ,6.0% ,2.1% ,1.6% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.4% 
,,,,,,,,,,,,,,,,
Lassen,"2,429","4,512",317,155,166,115,0,0,0,0,0,0,0,0,0,177
  Percent,31.6% ,58.7% ,4.2% ,2.0% ,2.1% ,1.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.2% 
,,,,,,,,,,,,,,,,
Los Angeles,"953,162","594,748","25,160","72,886","39,934","19,067",10,2,"1,067",4,5,2,3,7,2,"78,261"
  Percent,55.9% ,34.9% ,1.4% ,4.3% ,2.4% ,1.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,4.4% 
,,,,,,,,,,,,,,,,
Madera,"8,217","15,998",651,517,517,269,0,0,0,0,0,0,0,0,0,705
  Percent,31.4% ,61.2% ,2.5% ,2.0% ,1.9% ,1.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.6% 
,,,,,,,,,,,,,,,,
Marin,"49,512","24,520",917,"10,710","1,502",890,2,0,0,0,0,0,1,1,0,"3,773"
  Percent,56.3% ,27.9% ,1.0% ,12.1% ,1.7% ,1.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,4.1% 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mariposa,"2,126","3,720",193,215,130,101,0,0,0,0,0,0,0,0,0,197
  Percent,32.8% ,57.4% ,2.9% ,3.4% ,2.0% ,1.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.9% 
,,,,,,,,,,,,,,,,
Mendocino,"10,832","8,331",680,"4,119",581,359,0,0,0,2,0,0,0,0,0,888
  Percent,43.5% ,33.5% ,2.7% ,16.6% ,2.3% ,1.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.4% 
,,,,,,,,,,,,,,,,
Merced,"18,071","19,191",749,792,"1,379",374,0,0,0,2,0,0,0,0,0,"1,207"
  Percent,44.6% ,47.4% ,1.8% ,1.9% ,3.4% ,0.9% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.9% 
,,,,,,,,,,,,,,,,
Modoc,900,"2,161",145,54,67,54,0,0,0,0,0,0,0,0,0,83
  Percent,26.7% ,64.0% ,4.3% ,1.5% ,2.0% ,1.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.4% 
,,,,,,,,,,,,,,,,
Mono,"1,064","1,552",76,154,64,46,0,0,0,0,0,0,0,0,0,148
  Percent,36.0% ,52.6% ,2.5% ,5.3% ,2.1% ,1.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,4.8% 
,,,,,,,,,,,,,,,,
Monterey,"47,052","31,532","1,402","3,794","2,191","1,003",0,0,0,0,0,0,0,0,0,"2,460"
  Percent,54.1% ,36.3% ,1.6% ,4.4% ,2.5% ,1.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.8% 
,,,,,,,,,,,,,,,,
Napa,"17,516","13,483",824,"3,570",774,505,0,0,0,0,0,0,0,0,0,"1,217"
  Percent,47.8% ,36.8% ,2.2% ,9.8% ,2.1% ,1.3% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.2% 
,,,,,,,,,,,,,,,,
Nevada,"13,338","20,573",817,"3,297",743,546,0,0,0,0,0,0,0,0,1,"1,035"
  Percent,34.0% ,52.4% ,2.1% ,8.4% ,1.8% ,1.3% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.6% 
,,,,,,,,,,,,,,,,
Orange,"222,149","368,152","10,393","16,670","14,668","8,374",4,2,559,27,4,0,0,3,3,"21,288"
  Percent,34.7% ,57.5% ,1.6% ,2.7% ,2.2% ,1.3% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.2% 
,,,,,,,,,,,,,,,,
Placer,"28,495","58,623","1,556","4,657","1,500","1,222",0,0,0,0,0,1,0,0,2,"3,236"
  Percent,29.7% ,61.1% ,1.6% ,4.9% ,1.5% ,1.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.3% 
,,,,,,,,,,,,,,,,
Plumas,"2,598","4,310",264,380,182,124,0,0,0,0,0,0,0,0,0,240
  Percent,33.1% ,54.9% ,3.3% ,4.9% ,2.3% ,1.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.0% 
,,,,,,,,,,,,,,,,
Riverside,"121,845","159,440","5,530","5,995","6,601","2,987",1,0,32,3,245,0,3,0,1,"7,269"
  Percent,40.3% ,52.7% ,1.9% ,2.0% ,2.2% ,0.9% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.3% 
,,,,,,,,,,,,,,,,
Sacramento,"129,143","147,456","6,245","22,232","6,634","4,668",4,1,0,0,2,0,0,0,12,"14,642"
  Percent,40.9% ,46.7% ,1.9% ,7.1% ,2.0% ,1.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,4.4% 
,,,,,,,,,,,,,,,,
San Benito,"6,049","5,163",208,504,275,174,0,0,0,0,0,0,0,0,0,333
  Percent,48.9% ,41.8% ,1.6% ,4.1% ,2.2% ,1.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.6% 
,,,,,,,,,,,,,,,,
San Bernardino,"116,757","142,513","6,884","6,754","6,485","3,751",1,0,42,1,1,0,0,1,1,"11,170"
  Percent,41.3% ,50.4% ,2.5% ,2.3% ,2.2% ,1.3% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.8% 
,,,,,,,,,,,,,,,,
San Diego,"268,278","342,095","11,246","18,184","13,742","7,662",1,3,16,4,63,0,3,1,0,"22,987"
  Percent,40.6% ,51.8% ,1.7% ,2.8% ,2.0% ,1.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.4% 
,,,,,,,,,,,,,,,,
San Francisco,"143,102","33,214","1,639","33,495","3,048","1,649",0,0,2,0,0,0,0,7,0,"8,946"
  Percent,66.3% ,15.4% ,0.7% ,15.5% ,1.4% ,0.7% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,4.0% 
,,,,,,,,,,,,,,,,
San Joaquin,"53,747","58,239","2,736","4,630","2,540","1,546",3,2,0,0,0,0,0,0,0,"3,508"
  Percent,43.6% ,47.2% ,2.2% ,3.8% ,2.0% ,1.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.8% 
,,,,,,,,,,,,,,,,
San Luis Obispo,"29,732","43,552","1,531","4,189","1,618","1,033",0,0,2,0,0,0,32,0,1,"2,213"
  Percent,36.4% ,53.4% ,1.8% ,5.2% ,2.0% ,1.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.6% 
,,,,,,,,,,,,,,,,
San Mateo,"99,803","51,497","2,144","13,537","3,205","2,020",1,0,0,0,0,1,0,0,2,"7,069"
  Percent,58.0% ,30.0% ,1.2% ,7.9% ,1.8% ,1.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.9% 
,,,,,,,,,,,,,,,,
Santa Barbara,"50,741","52,832","1,401","5,785","2,586","1,141",0,0,0,0,0,0,5,0,0,"2,926"
  Percent,44.4% ,46.2% ,1.2% ,5.1% ,2.2% ,0.9% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.5% 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Santa Clara,"199,399","116,862","5,951","24,097","9,430","4,652",2,0,2,0,0,0,0,0,1,"14,654"
  Percent,55.4% ,32.5% ,1.6% ,6.7% ,2.6% ,1.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.9% 
,,,,,,,,,,,,,,,,
Santa Cruz,"43,469","20,598","1,166","9,409","1,777","1,164",1,0,0,0,0,0,0,0,0,"2,439"
  Percent,56.1% ,26.6% ,1.5% ,12.1% ,2.2% ,1.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.0% 
,,,,,,,,,,,,,,,,
Shasta,"15,292","28,625","1,664","1,283",942,753,0,0,0,0,0,0,0,0,0,"1,504"
  Percent,31.5% ,59.0% ,3.5% ,2.6% ,1.9% ,1.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.0% 
,,,,,,,,,,,,,,,,
Sierra,420,805,50,72,67,24,0,0,0,0,0,0,0,0,0,37
  Percent,29.3% ,56.0% ,3.4% ,5.1% ,4.6% ,1.6% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.5% 
,,,,,,,,,,,,,,,,
Siskiyou,"4,972","9,112",440,437,386,252,2,0,0,0,2,0,0,0,0,355
  Percent,31.9% ,58.4% ,2.9% ,2.8% ,2.4% ,1.6% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.2% 
,,,,,,,,,,,,,,,,
Solano,"46,385","33,516","2,174","4,038","1,316","1,092",0,0,0,0,0,0,0,0,1,"2,758"
  Percent,52.4% ,37.9% ,2.5% ,4.6% ,1.4% ,1.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.0% 
,,,,,,,,,,,,,,,,
Sonoma,"73,079","43,408","3,529","19,599","3,097","2,312",1,1,0,0,2,0,0,0,0,"4,635"
  Percent,50.4% ,30.0% ,2.4% ,13.6% ,2.1% ,1.5% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.1% 
,,,,,,,,,,,,,,,,
Stanislaus,"41,908","46,091","2,732","2,967","1,385","1,111",0,0,0,0,0,0,0,0,0,"2,499"
  Percent,43.6% ,48.0% ,2.8% ,3.1% ,1.4% ,1.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.5% 
,,,,,,,,,,,,,,,,
Sutter,"5,782","12,024",463,620,242,239,0,0,0,0,0,0,0,0,0,"2,219"
  Percent,29.9% ,62.1% ,2.3% ,3.3% ,1.2% ,1.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,10.3% 
,,,,,,,,,,,,,,,,
Tehama,"5,000","9,010",537,361,254,230,0,0,0,0,0,0,0,0,0,339
  Percent,32.5% ,58.6% ,3.5% ,2.4% ,1.6% ,1.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.2% 
,,,,,,,,,,,,,,,,
Trinity,"1,833","2,421",165,272,140,93,0,0,0,0,0,0,0,0,0,148
  Percent,37.3% ,49.2% ,3.3% ,5.6% ,2.8% ,1.8% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.9% 
,,,,,,,,,,,,,,,,
Tulare,"21,294","37,172","1,180","1,090","1,208",553,0,0,1,0,0,0,0,0,0,"1,269"
  Percent,34.1% ,59.5% ,1.9% ,1.7% ,2.0% ,0.8% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.0% 
,,,,,,,,,,,,,,,,
Tuolumne,"6,846","9,251",476,773,328,267,0,1,0,0,0,0,0,0,0,458
  Percent,38.2% ,51.6% ,2.6% ,4.4% ,1.8% ,1.4% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.5% 
,,,,,,,,,,,,,,,,
Ventura,"83,557","91,193","3,733","6,563","5,787","2,483",2,0,62,0,0,0,7,0,0,"6,321"
  Percent,43.3% ,47.2% ,1.9% ,3.4% ,3.0% ,1.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.2% 
,,,,,,,,,,,,,,,,
Yolo,"21,983","17,484",842,"4,934",543,566,0,0,0,0,0,0,1,0,0,"1,385"
  Percent,47.5% ,37.8% ,1.8% ,10.6% ,1.1% ,1.2% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.9% 
,,,,,,,,,,,,,,,,
Yuba,"3,447","6,904",373,428,249,202,0,0,0,0,0,0,0,0,0,257
  Percent,29.8% ,59.6% ,3.2% ,3.6% ,2.1% ,1.7% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,2.2% 
,,,,,,,,,,,,,,,,
State Totals,"3,533,490","3,169,801","128,035","393,036","161,203","88,415",37,13,"1,789",46,327,6,55,28,30,"262,470"
  Percent,47.3% ,42.4% ,1.7% ,5.3% ,2.2% ,1.1% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,0.0% ,3.4% 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
