"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","5947","43.52","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","7719","56.48","Washington State"
"Legislative District 12 State Senator","Linda Evans Parlette","(Prefers G.O.P. Party)","12074","100","Legislative District 12"
"Legislative District 12 State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)","11359","100","Legislative District 12"
"Legislative District 12 State Representative Pos. 2","Mike Armstrong","(Prefers Republican Party)","8006","58.1","Legislative District 12"
"Legislative District 12 State Representative Pos. 2","Courtney Cox","(Prefers Republican Party)","5773","41.9","Legislative District 12"
"Douglas COUNTY COMMISSIONER #1","Ken Stanton","(Prefers Republican Party)","11232","100","Douglas"
"Douglas COUNTY COMMISSIONER #2","Dane Keane","(Prefers Republican Party)","5795","43.25","Douglas"
"Douglas COUNTY COMMISSIONER #2","Dale Snyder","(Prefers Republican Party)","7604","56.75","Douglas"
"Supreme Court Justice Position 3","Mary Fairhurst","","10249","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","10234","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","10220","100","Supreme Court"
"Court of Appeals, Division 3, District 3 Judge Position 1","Stephen M. Brown","","10163","100","Court of Appeals, Division 3, District 3"
"Douglas Superior Court  Judge Position 1","John Hotchkiss","","10762","100","Douglas Superior Court "
"Public Utility District 1 COMMISSIONER #2","Lynn Heminger","","10913","100","Public Utility District 1"
"Eastmont Metropolitan Park  PROPOSITION NO. 1  GENERAL OBLIGATION BONDS - $3,046,000","APPROVED? ","","5819","50.12","Eastmont Metropolitan Park "
"Eastmont Metropolitan Park  PROPOSITION NO. 1  GENERAL OBLIGATION BONDS - $3,046,000","REJECTED?  ","","5791","49.88","Eastmont Metropolitan Park "
"Hospital District #2 PROPOSITION NO. 1 HOSPITAL DISTRICT ONE YEAR EXCESS LEVY","YES ","","691","77.29","Hospital District #2"
"Hospital District #2 PROPOSITION NO. 1 HOSPITAL DISTRICT ONE YEAR EXCESS LEVY","NO   ","","203","22.71","Hospital District #2"
"Eastmont School District PROPOSITION NO. 1 PROPOSITION FOR REAPPORTIONMENT OF DIRECTORS� DISTRICTS","YES ","","6644","59.66","Eastmont School District"
"Eastmont School District PROPOSITION NO. 1 PROPOSITION FOR REAPPORTIONMENT OF DIRECTORS� DISTRICTS","NO   ","","4492","40.34","Eastmont School District"
"Douglas-Okanogan Fire District Proposition No. 1 Emergency Medical Services Regular Property Tax Levy","Yes","","149","54.58","Douglas-Okanogan Fire District"
"Douglas-Okanogan Fire District Proposition No. 1 Emergency Medical Services Regular Property Tax Levy","No","","124","45.42","Douglas-Okanogan Fire District"
"Douglas-Okanogan Fire District Proposition No. 2 Increase From Three to Five Commissioners","Yes","","162","60","Douglas-Okanogan Fire District"
"Douglas-Okanogan Fire District Proposition No. 2 Increase From Three to Five Commissioners","No","","108","40","Douglas-Okanogan Fire District"
"Fire District #5 PROPOSITION NO. 1 GENERAL OBLIGATION BONDS - $540,000","APPROVED","","163","49.24","Fire District #5"
"Cemetery District #2 PROPOSITION NO. 1 ONE YEAR MAINTENANCE AND OPERATIONS EXCESS TAX LEVY","YES","","525","63.64","Cemetery District #2"
"Cemetery District #2 PROPOSITION NO. 1 ONE YEAR MAINTENANCE AND OPERATIONS EXCESS TAX LEVY","NO","","300","36.36","Cemetery District #2"
