"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","338554","41.23","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","482557","58.77","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","605331","73.85","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","214326","26.15","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","453330","53.56","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","393111","46.44","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","314993","38.12","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","511295","61.88","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","352267","48.13","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","379702","51.87","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","580666","72.13","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","224384","27.87","Washington State"
"Legislative District 1 State Senator","Rosemary McAuliffe","(Prefers Democratic Party)","6281","59.94","Legislative District 1"
"Legislative District 1 State Senator","Dennis Richter","(Prefers Republican Party)","4197","40.06","Legislative District 1"
"Legislative District 1 State Representative Pos. 1","Al O'Brien","(Prefers Democratic Party)","7790","100","Legislative District 1"
"Legislative District 1 State Representative Pos. 2","Mark Ericks","(Prefers Democratic Party)","7603","100","Legislative District 1"
"Legislative District 5 State Senator","Cheryl Pflug","(Prefers Republican Party)","43178","59.95","Legislative District 5"
"Legislative District 5 State Senator","Phyllis Huster","(Prefers Democratic Party)","28851","40.05","Legislative District 5"
"Legislative District 5 State Representative Pos. 1","Jay Rodne","(Prefers Republican Party)","41630","59.71","Legislative District 5"
"Legislative District 5 State Representative Pos. 1","Jon Viebrock","(Prefers Democratic Party)","28089","40.29","Legislative District 5"
"Legislative District 5 State Representative Pos. 2","Glenn Anderson","(Prefers Republican Party)","35913","51.58","Legislative District 5"
"Legislative District 5 State Representative Pos. 2","David Spring","(Prefers Democratic Party)","33712","48.42","Legislative District 5"
"Legislative District 11 State Senator","Margarita Prentice","(Prefers Democratic Party)","25817","68.25","Legislative District 11"
"Legislative District 11 State Senator","Juan Martinez","(Prefers Democratic Party)","12011","31.75","Legislative District 11"
"Legislative District 11 State Representative Pos. 1","Zack Hudgins","(Prefers Democratic Party)","27817","72.1","Legislative District 11"
"Legislative District 11 State Representative Pos. 1","David M. Morris","(Prefers Cut Taxes G.O.P. Party)","10764","27.9","Legislative District 11"
"Legislative District 11 State Representative Pos. 2","Bob Hasegawa","(Prefers Democratic Party)","29289","73.92","Legislative District 11"
"Legislative District 11 State Representative Pos. 2","John Potter","(Prefers Republican Party)","10335","26.08","Legislative District 11"
"Legislative District 30 State Representative Pos. 1","Mark Miloscia","(Prefers Democratic Party)","29999","67.49","Legislative District 30"
"Legislative District 30 State Representative Pos. 1","Michael Thompson","(Prefers Republican Party)","14453","32.51","Legislative District 30"
"Legislative District 30 State Representative Pos. 2","Skip Priest","(Prefers Republican Party)","24154","53.49","Legislative District 30"
"Legislative District 30 State Representative Pos. 2","Carol Gregory","(Prefers Democratic Party)","21006","46.51","Legislative District 30"
"Legislative District 31 State Representative Pos. 1","Dan Roach","(Prefers Republican Party)","11762","58.1","Legislative District 31"
"Legislative District 31 State Representative Pos. 1","Ron Weigelt","(Prefers Democratic Party)","8481","41.9","Legislative District 31"
"Legislative District 31 State Representative Pos. 2","Christopher Hurst","(Prefers Democratic Party)","12099","60.72","Legislative District 31"
"Legislative District 31 State Representative Pos. 2","Sharon Hanek","(Prefers Republican Party)","7827","39.28","Legislative District 31"
"Legislative District 32 State Representative Pos. 1","Maralyn Chase","(Prefers Democratic Party)","33904","69.56","Legislative District 32"
"Legislative District 32 State Representative Pos. 1","Alex Rion","(Prefers G.O.P. Party)","14836","30.44","Legislative District 32"
"Legislative District 32 State Representative Pos. 2","Ruth Kagi","(Prefers Democratic Party)","38946","100","Legislative District 32"
"Legislative District 33 State Representative Pos. 1","Tina L. Orwall","(Prefers Democratic Party)","25336","62.41","Legislative District 33"
"Legislative District 33 State Representative Pos. 1","Todd Gibson","(Prefers G.O.P. Party)","15260","37.59","Legislative District 33"
"Legislative District 33 State Representative Pos. 2","Dave Upthegrove","(Prefers Democrat Party)","28366","70.17","Legislative District 33"
"Legislative District 33 State Representative Pos. 2","Tan Lam","(Prefers G O P Party)","12057","29.83","Legislative District 33"
"Legislative District 34 State Senator","Joe McDermott","(Prefers Democratic Party)","49203","100","Legislative District 34"
"Legislative District 34 State Representative Pos. 1","Eileen L. Cody","(Prefers Democratic Party)","46286","100","Legislative District 34"
"Legislative District 34 State Representative Pos. 2","Sharon K. Nelson","(Prefers Democratic Party)","46142","100","Legislative District 34"
"Legislative District 36 State Representative Pos. 1","Reuven Carlyle","(Prefers Democratic Party)","44916","65.51","Legislative District 36"
"Legislative District 36 State Representative Pos. 1","John Burbank","(Prefers Democratic Party)","23652","34.49","Legislative District 36"
"Legislative District 36 State Representative Pos. 2","Mary Lou Dickerson","(Prefers Democratic Party)","59589","84.52","Legislative District 36"
"Legislative District 36 State Representative Pos. 2","Leslie Klein","(Prefers Republican Party)","10914","15.48","Legislative District 36"
"Legislative District 37 State Representative Pos. 1","Sharon Tomiko Santos","(Prefers Democratic Party)","42836","100","Legislative District 37"
"Legislative District 37 State Representative Pos. 2","Eric Pettigrew","(Prefers Democratic Party)","42492","89.44","Legislative District 37"
"Legislative District 37 State Representative Pos. 2","Ruth E. Bennett","(Prefers Libertarian Party)","5017","10.56","Legislative District 37"
"Legislative District 39 State Senator","Val Stevens","(Prefers Republican Party)","156","54.17","Legislative District 39"
"Legislative District 39 State Senator","Fred Walser","(Prefers Democratic Party)","132","45.83","Legislative District 39"
"Legislative District 39 State Representative Pos. 1","Dan Kristiansen","(Prefers R Party)","121","43.53","Legislative District 39"
"Legislative District 39 State Representative Pos. 1","Scott Olson","(Prefers Democratic Party)","157","56.47","Legislative District 39"
"Legislative District 39 State Representative Pos. 2","Kirk Pearson","(Prefers Republican Party)","138","50.37","Legislative District 39"
"Legislative District 39 State Representative Pos. 2","David E. Personius","(Prefers Democratic Party)","136","49.64","Legislative District 39"
"Legislative District 41 State Senator","Fred Jarrett","(Prefers Democratic Party)","38327","59.5","Legislative District 41"
"Legislative District 41 State Senator","Bob Baker","(Prefers Republican Party)","26092","40.5","Legislative District 41"
"Legislative District 41 State Representative Pos. 1","Marcie Maxwell","(Prefers Democratic Party)","32571","50.58","Legislative District 41"
"Legislative District 41 State Representative Pos. 1","Steve Litzow","(Prefers G.O.P. Party)","31823","49.42","Legislative District 41"
"Legislative District 41 State Representative Pos. 2","Judy Clibborn","(Prefers Democratic Party)","47078","100","Legislative District 41"
"Legislative District 43 State Representative Pos. 1","Jamie Pedersen","(Prefers Democratic Party)","55491","100","Legislative District 43"
"Legislative District 43 State Representative Pos. 2","Frank Chopp","(Prefers Democratic Party)","55163","86.85","Legislative District 43"
"Legislative District 43 State Representative Pos. 2","Kim Verde","(Prefers G O P Party)","8353","13.15","Legislative District 43"
"Legislative District 45 State Representative Pos. 1","Roger Goodman","(Prefers Democratic Party)","34585","54.48","Legislative District 45"
"Legislative District 45 State Representative Pos. 1","Toby Nixon","(Prefers Republican Party)","28898","45.52","Legislative District 45"
"Legislative District 45 State Representative Pos. 2","Larry Springer","(Prefers Democratic Party)","37058","59.72","Legislative District 45"
"Legislative District 45 State Representative Pos. 2","Kevin Haistings","(Prefers G O P Party)","25000","40.28","Legislative District 45"
"Legislative District 46 State Representative Pos. 1","Scott White","(Prefers Democratic Party)","42410","71.58","Legislative District 46"
"Legislative District 46 State Representative Pos. 1","Gerry Pollet","(Prefers Democratic Party)","16842","28.42","Legislative District 46"
"Legislative District 46 State Representative Pos. 2","Phyllis G. Kenney","(Prefers Democratic Party)","50943","82.86","Legislative District 46"
"Legislative District 46 State Representative Pos. 2","John Sweeney","(Prefers Grand Old Party)","10538","17.14","Legislative District 46"
"Legislative District 47 State Representative Pos. 1","Mark Hargrove","(Prefers Republican Party)","24707","47.38","Legislative District 47"
"Legislative District 47 State Representative Pos. 1","Geoff Simpson","(Prefers Democratic Party)","27439","52.62","Legislative District 47"
"Legislative District 47 State Representative Pos. 2","Pat Sullivan","(Prefers Democratic Party)","29949","58.42","Legislative District 47"
"Legislative District 47 State Representative Pos. 2","Timothy Miller","(Prefers Republican Party)","21319","41.58","Legislative District 47"
"Legislative District 48 State Representative Pos. 1","Ross Hunter","(Prefers Democratic Party)","32586","64.32","Legislative District 48"
"Legislative District 48 State Representative Pos. 1","Charles A. Lapp","(Prefers Republican Party)","18074","35.68","Legislative District 48"
"Legislative District 48 State Representative Pos. 2","Deb Eddy","(Prefers Democratic Party)","29560","59.49","Legislative District 48"
"Legislative District 48 State Representative Pos. 2","Ronald G. Fuller","(Prefers Republican Party)","20128","40.51","Legislative District 48"
"Supreme Court Justice Position 3","Mary Fairhurst","","564561","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","565540","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","553427","100","Supreme Court"
"Court of Appeals, Division 1, District 1 Judge Position 5","Linda Lau","","534968","100","Court of Appeals, Division 1, District 1"
"Court of Appeals, Division 1, District 1 Judge Position 6","Ann Schindler","","536547","100","Court of Appeals, Division 1, District 1"
"King Superior Court Judge Position 1","Tim Bradshaw","","392276","59.75","King Superior Court"
"King Superior Court Judge Position 1","Suzanne (Sue) Parisien","","264263","40.25","King Superior Court"
"King Superior Court Judge Position 22","Julia Garratt","","294409","46.35","King Superior Court"
"King Superior Court Judge Position 22","Holly Hill","","340785","53.65","King Superior Court"
"King Superior Court Judge Position 37","Jean Rietschel","","307399","48.42","King Superior Court"
"King Superior Court Judge Position 37","Barbara Mack","","327476","51.58","King Superior Court"
"SoundTransit Sound Transit (A Regional Transit Authority) Proposition No. 1 Mass Transit Expansion ","Approved","","448497","60.5","SoundTransit"
"SoundTransit Sound Transit (A Regional Transit Authority) Proposition No. 1 Mass Transit Expansion ","Rejected","","292867","39.5","SoundTransit"
