"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","94146","47.06","Washington State"
"Legislative District 3 State Senator","Lisa Brown","(Prefers Democratic Party)","30893","74.46","Legislative District 3"
"Legislative District 3 State Senator","John Moyna","(States No Party Preference)","10598","25.54","Legislative District 3"
"Legislative District 3 State Representative Pos. 1","Alex Wood","(Prefers Democratic Party)","28421","67.36","Legislative District 3"
"Legislative District 3 State Representative Pos. 1","Chris Bowen","(Prefers Republican Party)","13774","32.64","Legislative District 3"
"Legislative District 3 State Representative Pos. 2","Timm Ormsby","(Prefers Democratic Party)","27385","65.14","Legislative District 3"
"Legislative District 3 State Representative Pos. 2","Mike Novak","(Prefers G.O.P. Party)","14655","34.86","Legislative District 3"
"Legislative District 4 State Senator","Bob McCaslin","(Prefers Republican Party)","36745","57.5","Legislative District 4"
"Legislative District 4 State Senator","Judi Owens","(Prefers Democratic Party)","27163","42.5","Legislative District 4"
"Legislative District 4 State Representative Pos. 1","Larry Crouse","(Prefers Republican Party)","35703","56.39","Legislative District 4"
"Legislative District 4 State Representative Pos. 1","Linda J. Thompson","(Prefers Democratic Party)","27614","43.61","Legislative District 4"
"Legislative District 4 State Representative Pos. 2","Matt Shea","(Prefers Republican Party)","37032","58.47","Legislative District 4"
"Legislative District 4 State Representative Pos. 2","Tim Hattenburg","(Prefers Democratic Party)","26301","41.53","Legislative District 4"
"Legislative District 6 State Representative Pos. 1","Don A. Barlow","(Prefers Democratic Party)","33050","47.15","Legislative District 6"
"Legislative District 6 State Representative Pos. 1","Kevin Parker","(Prefers Republican Party)","37050","52.85","Legislative District 6"
"Legislative District 6 State Representative Pos. 2","John E. Ahern","(Prefers Republican Party)","35033","49.95","Legislative District 6"
"Legislative District 6 State Representative Pos. 2","John F. Driscoll","(Prefers Democratic Party)","35107","50.05","Legislative District 6"
"Legislative District 7 State Representative Pos. 1","Shelly Short","(Prefers Republican Party)","6460","56.33","Legislative District 7"
"Legislative District 7 State Representative Pos. 1","Sue Lani Madsen","(Prefers Republican Party)","5009","43.67","Legislative District 7"
"Legislative District 7 State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)","10069","100","Legislative District 7"
"Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","13260","100","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Steve Hailey","(Prefers G.O.P. Party)","10352","65.15","Legislative District 9"
"Legislative District 9 State Representative Pos. 1","Kenneth E. Caylor","(Prefers Democratic Party)","5537","34.85","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)","10195","62.82","Legislative District 9"
"Legislative District 9 State Representative Pos. 2","Tyana Kelley","(Prefers Democratic Party)","6033","37.18","Legislative District 9"
"COUNTY WIDE COMMISSIONER DISTRICT 1","Todd Mielke","(Prefers Republican Party)","117902","57.18","COUNTY WIDE"
"COUNTY WIDE COMMISSIONER DISTRICT 1","Kim Thorburn","(Prefers Democrat Party)","88303","42.82","COUNTY WIDE"
"COUNTY WIDE COMMISSIONER DISTRICT 2","Mark Richard","(Prefers Republican Party)","108750","53.85","COUNTY WIDE"
"COUNTY WIDE COMMISSIONER DISTRICT 2","Brian Sayrs","(Prefers Democratic Party)","93212","46.15","COUNTY WIDE"
"Supreme Court Justice Position 3","Mary Fairhurst","","152963","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","151925","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","153820","100","Supreme Court"
"Court of Appeals, Division 3, District 1 Judge Position 2","Kevin M. Korsmo","","152365","100","Court of Appeals, Division 3, District 1"
"TOWN OF ROCKFORD Proposition No. 1 2009 Fire Protection Services","Yes","","143","65.9","TOWN OF ROCKFORD"
"TOWN OF ROCKFORD Proposition No. 1 2009 Fire Protection Services","No","","74","34.1","TOWN OF ROCKFORD"
"Fire District 02 Proposition No. 1 Emergency Medical Services","Yes","","117","60.62","Fire District 02"
"Fire District 02 Proposition No. 1 Emergency Medical Services","No","","76","39.38","Fire District 02"
"Fire District 03 Proposition No. 1 Proposition to Restore Property Tax Levy","Approved","","4459","58.47","Fire District 03"
"Fire District 03 Proposition No. 1 Proposition to Restore Property Tax Levy","Rejected","","3167","41.53","Fire District 03"
"PUD 01 Commissioner #2","Howie Kubik","","59","53.15","PUD 01"
"PUD 01 Commissioner #2","Ken (K.O.) Rosenberg","","52","46.85","PUD 01"
"ROSALIA PARK DISTRICT 2 Proposition No. 5 Swimming Pool Maintenance","Yes","","11","64.71","ROSALIA PARK DISTRICT 2"
"ROSALIA PARK DISTRICT 2 Proposition No. 5 Swimming Pool Maintenance","No","","6","35.29","ROSALIA PARK DISTRICT 2"
