"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","9170","35.72","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","11397","47.28","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","12710","52.72","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","10201","40.67","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","14883","59.33","Washington State"
"Legislative District 12 State Senator","Linda Evans Parlette","(Prefers G.O.P. Party)","1715","100","Legislative District 12"
"Legislative District 12 State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)","1636","100","Legislative District 12"
"Legislative District 12 State Representative Pos. 2","Mike Armstrong","(Prefers Republican Party)","1027","54.77","Legislative District 12"
"Legislative District 12 State Representative Pos. 2","Courtney Cox","(Prefers Republican Party)","848","45.23","Legislative District 12"
"Legislative District 13 State Representative Pos. 1","Judith (Judy) Warnick","(Prefers Republican Party)","19747","100","Legislative District 13"
"Legislative District 13 State Representative Pos. 2","Bill Hinkle","(Prefers G.O.P. Party)","19103","100","Legislative District 13"
"Grant COUNTY COMMISSIONER #01","Richard Stevens","(Prefers Republican Party)","20103","100","Grant"
"Grant COUNTY COMMISSIONER #02","Carolann Swartz","(Prefers Republican Party)","11872","50.78","Grant"
"Grant COUNTY COMMISSIONER #02","LeRoy Allison","(Prefers Republican Party)","11507","49.22","Grant"
"Supreme Court Justice Position 3","Mary Fairhurst","","18731","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","18708","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","18842","100","Supreme Court"
"Grant Superior Court Judge Position 1","Evan E. Sperline","","19793","100","Grant Superior Court"
"Grant Superior Court Judge Position 3","John M. Antosz","","19158","100","Grant Superior Court"
"Fire Dist #13 Proposition 1  Emergency Medical Services Levy for six consecutive years","Yes","","505","57.39","Fire Dist #13"
"Fire Dist #13 Proposition 1  Emergency Medical Services Levy for six consecutive years","No","","375","42.61","Fire Dist #13"
"Cemetery Dist #2 Proposition No. 1 Special One Year Maintenance and Operation Levy","SPECIAL LEVY YES","","98","61.25","Cemetery Dist #2"
"Cemetery Dist #2 Proposition No. 1 Special One Year Maintenance and Operation Levy","SPECIAL LEVY NO","","62","38.75","Cemetery Dist #2"
"Port Dist #7 Comm Dist #1 Port 7  Proposition 1 Port 7 Proposition 1","Yes","","363","43.79","Port Dist #7 Comm Dist #1"
"Port Dist #7 Comm Dist #1 Port 7  Proposition 1 Port 7 Proposition 1","No","","466","56.21","Port Dist #7 Comm Dist #1"
"PUD Comm Dist #3 PUBLIC UTILITY COMMISSIONER #03","Don Long","","11465","47.76","PUD Comm Dist #3"
"PUD Comm Dist #3 PUBLIC UTILITY COMMISSIONER #03","Randy Allred","","12540","52.24","PUD Comm Dist #3"
"PUD Comm Dist #A At Large PUBLIC UTILITY COMMISSIONER A AL","Tom Flint","","13884","60.64","PUD Comm Dist #A At Large"
"PUD Comm Dist #A At Large PUBLIC UTILITY COMMISSIONER A AL","Sam A. Johnson","","9012","39.36","PUD Comm Dist #A At Large"
