"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adna School District #226 Capital Improvements General Obligation Bonds $5,240,000","Approved","","1163","58.27","Adna School District #226"
"Adna School District #226 Capital Improvements General Obligation Bonds $5,240,000","Rejected","","833","41.73","Adna School District #226"
"PUD District Comm Dist 1","Ben Kostick","","15328","68.95","PUD District"
"PUD District Comm Dist 1","Jeffrey Kennedy","","6904","31.05","PUD District"
"Fire Dist. #17-Big Crk-Mineral Regular Property Tax Levy For Emergency Medical Services","Yes","","71","81.61","Fire Dist. #17-Big Crk-Mineral"
"Fire Dist. #17-Big Crk-Mineral Regular Property Tax Levy For Emergency Medical Services","No","","16","18.39","Fire Dist. #17-Big Crk-Mineral"
"Fire Dist. #18-Glenoma 6 Yr EMS Levy","Yes","","321","70.24","Fire Dist. #18-Glenoma"
"Fire Dist. #18-Glenoma 6 Yr EMS Levy","No","","136","29.76","Fire Dist. #18-Glenoma"
"Fire Dist #11 - Plus Pe Ell Town Annexation of Town of Pe Ell to Fire Dist #11","Yes","","382","85.65","Fire Dist #11 - Plus Pe Ell Town"
"Fire Dist #11 - Plus Pe Ell Town Annexation of Town of Pe Ell to Fire Dist #11","No","","64","14.35","Fire Dist #11 - Plus Pe Ell Town"
"Castle Rock School District #401c Castle Rock School District No. 401, Redistricting Plan for Director Districts To Allocate by Re-District Position and Define Future School Director's Terms of Office","Approved","","412","67.54","Castle Rock School District #401c"
"Castle Rock School District #401c Castle Rock School District No. 401, Redistricting Plan for Director Districts To Allocate by Re-District Position and Define Future School Director's Terms of Office","Rejected","","198","32.46","Castle Rock School District #401c"
