"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"OAKESDALE TOWN Proposition No. 2 City Maintenance","Yes","","196","72.32","OAKESDALE TOWN"
"OAKESDALE TOWN Proposition No. 2 City Maintenance","No","","75","27.68","OAKESDALE TOWN"
"TOWN OF COLTON Proposition No. 1 A Proposition to Authorize the Levy of Additional Taxes","Yes","","164","65.6","TOWN OF COLTON"
"TOWN OF COLTON Proposition No. 1 A Proposition to Authorize the Levy of Additional Taxes","No","","86","34.4","TOWN OF COLTON"
"CEMETERY DISTRICT - 2 Proposition No. 1 Operation and Maintenance","Yes","","298","71.98","CEMETERY DISTRICT - 2"
"CEMETERY DISTRICT - 2 Proposition No. 1 Operation and Maintenance","No","","116","28.02","CEMETERY DISTRICT - 2"
"CEMETERY DISTRICT - 4 Proposition No. 1 General Maintenance","Yes","","212","72.6","CEMETERY DISTRICT - 4"
"CEMETERY DISTRICT - 4 Proposition No. 1 General Maintenance","No","","80","27.4","CEMETERY DISTRICT - 4"
"PARK DISTRICT - 1 Proposition No. 1 Operation & Maintenance of Swimming Pool","Yes","","332","74.44","PARK DISTRICT - 1"
"PARK DISTRICT - 1 Proposition No. 1 Operation & Maintenance of Swimming Pool","No","","114","25.56","PARK DISTRICT - 1"
"PARK DISTRICT - 4 Proposition No. 1 Maintaining Recreational Facilities","Yes","","265","63.25","PARK DISTRICT - 4"
"PARK DISTRICT - 4 Proposition No. 1 Maintaining Recreational Facilities","No","","154","36.75","PARK DISTRICT - 4"
"PARK DISTRICT - 5 Proposition No. 5 Swimming Pool Maintenance","Yes","","422","68.95","PARK DISTRICT - 5"
"PARK DISTRICT - 5 Proposition No. 5 Swimming Pool Maintenance","No","","190","31.05","PARK DISTRICT - 5"
"PARK DISTRICT - 7 Proposition No. 1 Swimming Pool Maintenance","Yes","","206","61.49","PARK DISTRICT - 7"
"PARK DISTRICT - 7 Proposition No. 1 Swimming Pool Maintenance","No","","129","38.51","PARK DISTRICT - 7"
