"","","","","","Report of Registration, as of October 5, 1998","","","","","","",""
"37 San Diego","1,905,367","1,324,482","482,776","558,048","29,626","6,751","10,023","18,094","6,014","15,384","1,561","196,205"
"38 San Francisco","519,062","448,888","264,302","65,868","7,428","9,897","2,784","1,472","3,091","1,644","213","92,189"
"39 San Joaquin","330,421","228,093","107,808","93,802","4,005","617","1,002","154","761","595","3,763","15,586"
"40 San Luis Obispo","173,074","133,809","51,284","58,945","2,813","1,381","872","329","502","698","1,546","15,439"
"41 San Mateo","484,213","325,117","166,899","95,333","5,455","2,430","1,661","731","1,303","1,615","144","49,546"
"42 Santa Barbara","274,868","224,325","95,974","83,844","4,667","2,512","1,281","478","958","1,016","2,041","31,554"
"43 Santa Clara","1,091,456","726,410","339,795","238,010","13,201","4,725","4,985","1,475","3,085","4,430","555","116,149"
"44 Santa Cruz","169,837","137,955","73,940","33,559","2,153","4,566","1,428","252","958","1,108","298","19,693"
"45 Shasta","119,746","83,499","30,825","39,091","2,359","244","563","53","396","243","176","9,549"
"46 Sierra","2,601","2,281","880","978","50","20","26","0","8","9","28","282"
"47 Siskiyou","32,466","25,114","10,736","10,120","752","154","152","75","122","67","6","2,930"
"48 Solano","254,483","185,196","98,483","54,163","3,752","670","708","187","727","1,044","336","25,126"
"49 Sonoma","318,707","234,559","123,335","70,536","4,013","3,444","1,461","314","1,251","1,608","1,219","27,378"
"50 Stanislaus","274,689","195,072","94,394","71,986","4,654","492","797","140","904","1,243","1,046","19,416"
"51 Sutter","49,981","36,940","13,436","18,153","891","69","192","13","175","89","947","2,975"
"52 Tehama","38,506","26,640","11,185","11,318","909","42","202","13","112","65","165","2,629"
"53 Trinity","9,860","8,330","3,549","3,211","252","92","78","3","68","21","136","920"
"54 Tulare","209,407","119,480","49,965","52,606","2,920","259","462","135","565","410","54","12,104"
"55 Tuolumne","34,016","30,145","12,787","12,880","725","187","169","11","104","290","53","2,939"
"56 Ventura","475,380","394,821","155,969","165,323","9,030","2,506","2,237","1,008","1,963","2,638","2,399","51,748"
"57 Yolo","107,793","83,861","44,683","24,163","1,493","1,029","399","102","331","278","484","10,899"
"58 Yuba","40,781","25,620","10,465","10,458","887","94","163","14","136","74","10","3,319"
"State Total","20,806,462","14,969,185","6,989,006","5,314,912","291,678","98,443","81,780","65,433","72,969","88,724","62,543","1,903,697"
