"","Eligible to","Total","","","American","","","Natural","Peace &","","Miscellaneous","Declined to"
"Mendocino","60,207","46,961","23,267","13,618","1,087","1,463","317","35","535","207","82","6,350"
"Merced","106,902","78,068","42,667","24,897","1,764","133","255","42","359","208","0","7,743"
"Modoc","7,404","5,958","2,347","2,692","180","11","31","4","29","16","0","648"
"Mono","7,393","5,686","1,840","2,576","169","66","55","2","34","19","0","925"
"Monterey","235,928","145,008","72,530","48,340","2,938","966","665","91","641","613","619","17,605"
"Napa","87,758","62,616","29,703","22,774","1,278","480","324","30","251","313","269","7,194"
"Nevada","68,752","58,580","19,863","26,834","1,188","1,321","517","24","244","721","0","7,868"
"Orange","1,714,046","1,178,699","376,652","604,156","21,723","3,942","7,101","4,494","3,988","10,325","1,444","144,874"
"Placer","160,434","132,191","46,268","64,271","2,671","763","797","69","449","1,133","23","15,747"
"Plumas","15,633","12,324","5,056","5,150","386","61","64","2","54","53","19","1,479"
"Riverside","937,840","562,742","223,950","255,280","12,061","1,246","3,419","1,809","2,060","3,962","4,138","54,817"
"Sacramento","797,468","580,036","275,598","213,530","11,957","3,124","2,566","1,166","2,577","4,567","596","64,355"
"San Benito","28,963","22,606","10,579","8,341","530","94","146","8","104","74","41","2,689"
"San Bernardino","1,039,123","625,384","268,494","259,946","15,544","1,614","2,694","1,401","2,787","5,040","2,806","65,058"
"San Diego","1,885,927","1,273,975","468,567","535,692","27,876","6,372","9,356","19,416","5,821","16,383","1,296","183,196"
"San Francisco","516,496","430,794","256,355","64,562","6,977","9,265","2,559","1,541","2,951","1,706","220","84,658"
"San Joaquin","328,101","219,114","103,065","90,364","3,870","613","968","148","746","623","3,557","15,160"
"San Luis Obispo","171,805","129,805","50,282","57,641","2,667","1,250","793","325","484","719","1,507","14,137"
"San Mateo","480,365","336,746","174,279","99,180","5,734","2,418","1,622","738","1,530","1,647","125","49,473"
"Santa Barbara","272,853","217,259","93,884","82,505","4,381","2,299","1,156","511","912","1,045","1,890","28,676"
"Santa Clara","1,082,531","703,823","331,919","232,552","12,475","4,427","4,645","1,476","2,949","4,608","482","108,290"
"Santa Cruz","168,810","130,185","69,505","32,794","2,002","4,221","1,285","245","902","1,156","268","17,807"
"Shasta","119,255","81,600","30,406","38,342","2,251","220","523","46","369","250","156","9,037"
"Sierra","2,601","2,199","858","954","48","20","23","0","7","8","27","254"
"Siskiyou","32,373","24,461","10,643","9,833","726","132","149","71","115","67","6","2,719"
"Solano","252,696","173,892","90,685","52,679","3,555","608","622","168","700","1,089","321","23,465"
"Sonoma","316,184","242,981","126,857","73,605","4,314","3,375","1,500","328","1,468","1,743","1,285","28,506"
"Stanislaus","272,840","189,960","92,621","69,825","4,474","490","749","130","869","1,311","1,034","18,457"
"Sutter","49,573","36,720","13,354","18,135","874","76","189","15","167","96","901","2,913"
"Tehama","38,417","25,937","10,997","11,028","844","31","188","8","107","66","160","2,508"
"Trinity","9,892","8,344","3,596","3,221","248","86","70","3","68","22","142","888"
"Tulare","208,260","118,069","49,157","52,400","2,871","263","453","131","555","424","41","11,774"
"Tuolumne","33,824","29,833","12,812","12,629","709","170","163","13","116","322","56","2,843"
"Ventura","472,022","391,973","155,237","164,725","8,822","2,794","2,141","1,035","1,917","2,863","2,392","50,047"
"Yolo","107,099","76,865","40,520","23,000","1,386","935","332","96","313","295","423","9,565"
"Yuba","40,585","24,758","10,217","10,131","820","87","148","9","135","69","12","3,130"
"State Total","20,653,410","14,605,677","6,830,530","5,225,686","281,394","93,380","76,830","68,810","71,620","93,837","59,306","1,804,284"
"Percent","","70.72%","46.77%","35.78%","1.93%","0.64%","0.53%","0.47%","0.49%","0.64%","0.41%","12.35%"
