"","","","REPORT OF REGISTRATION AS OF OCTOBER 22, 2018","","","","","","","",""
"Merced","160,905","97,584","42,215","26,729","2,971","322","718","253","16","111","24,249"
"Modoc","7,392","5,118","1,105","2,521","255","21","45","16","5","13","1,137"
"Mono","9,542","6,597","2,280","2,011","257","53","66","29","2","9","1,890"
"Monterey","244,901","187,350","92,224","38,480","4,438","957","1,292","621","573","184","48,581"
"Napa","92,369","78,135","35,557","17,265","2,341","566","677","210","237","323","20,959"
"Nevada","78,603","68,954","24,938","22,758","2,443","792","866","192","7","10,349","6,609"
"Orange","2,028,366","1,560,111","523,624","541,665","39,268","4,816","13,634","3,913","202","3,314","429,675"
"Placer","276,613","234,732","66,303","97,895","7,038","909","3,803","446","570","951","56,817"
"Plumas","15,930","12,480","3,512","5,280","599","54","142","35","0","4","2,854"
"Riverside","1,481,361","1,035,957","385,153","340,917","31,880","2,840","7,900","3,615","3,435","4,828","255,389"
"Sacramento","1,013,368","765,965","325,031","197,510","23,141","3,527","7,218","4,371","1,921","1,618","201,628"
"San Benito","34,253","30,064","13,647","7,787","801","111","231","95","3","40","7,349"
"San Bernardino","1,330,247","937,316","365,411","275,884","31,372","2,989","7,114","4,230","3,157","4,625","242,534"
"San Diego","2,224,081","1,741,707","626,707","482,400","56,167","6,999","16,305","5,204","6,618","4,661","536,646"
"San Francisco","660,296","500,051","284,218","33,177","8,040","4,075","2,983","1,371","1,922","1,009","163,256"
"San Joaquin","458,818","344,891","143,533","100,460","9,143","1,035","2,392","1,324","1,094","1,081","84,829"
"San Luis Obispo","209,049","172,544","59,530","60,117","5,288","1,065","1,760","371","497","1,622","42,294"
"San Mateo","507,576","399,351","200,913","60,784","8,121","1,927","2,393","919","876","876","122,542"
"Santa Barbara","294,186","217,417","92,086","55,810","5,513","1,120","1,711","517","747","1,338","58,575"
"Santa Clara","1,208,495","885,764","403,587","152,914","17,652","3,418","6,014","2,264","73","1,583","298,259"
"Santa Cruz","189,838","159,499","87,066","22,353","3,442","1,743","1,452","519","18","951","41,955"
"Shasta","134,126","101,782","23,649","46,825","4,135","389","1,124","335","6","252","25,067"
"Sierra","2,622","2,190","605","872","123","20","29","4","0","42","495"
"Siskiyou","34,508","27,566","8,274","10,437","1,283","215","344","130","88","66","6,729"
"Solano","294,055","231,510","105,652","50,074","6,558","870","1,797","734","1,015","1,371","63,439"
"Sonoma","349,097","274,292","142,401","49,768","6,693","2,949","2,264","656","814","1,147","67,600"
"Stanislaus","346,439","248,466","92,643","86,627","7,231","688","1,914","845","982","2,259","55,277"
"Sutter","60,635","46,087","13,731","17,989","1,488","107","382","155","214","632","11,389"
"Tehama","43,847","33,286","8,400","14,210","1,601","100","380","105","0","80","8,410"
"Trinity","11,301","7,656","2,401","2,480","367","93","95","39","214","600","1,367"
"Tulare","266,322","169,367","52,674","66,371","5,296","472","1,337","434","587","309","41,887"
"Tuolumne","41,054","31,999","9,396","13,190","1,237","177","362","88","3","36","7,510"
"Ventura","550,773","448,174","178,374","132,841","10,524","1,804","3,600","1,181","1,711","5,270","112,869"
"Yolo","151,613","113,642","53,719","22,219","3,102","810","942","407","430","560","31,453"
"Yuba","48,389","33,754","9,054","12,213","1,628","148","392","199","187","102","9,831"
"State Total","25,200,451","19,696,371","8,557,427","4,735,054","508,364","89,517","149,095","74,865","53,864","108,578","5,419,607"
"Percent","","78.16%","43.45%","24.04%","2.58%","0.45%","0.76%","0.38%","0.27%","0.55%","27.52%"
