,Barack Obama*,"Luis Alberto Ramos, Jr.",Darcy Richardson,"Michael W.R.    Meyer, Jr.",Fred           Karger,Newt Gingrich,Mitt Romney,"Charles E. ""Buddy"" Roemer, III",Rick Santorum,Ron           Paul,Sheldon Yeu Howard,Donald James Gonzales,Jeremy Hannon,Laurie         Roth,Mad Max Riekse,Edward C. Noonan,Andrew Abe Diaz,Raymond Delmond Smith,Kent Mesplay,Jill             Stein,Roseanne Barr,Scott            Keller,Barbara Joy Waymire,Gary Johnson,Bill          Still,R. J.           Harris,Carl         Person,Roger           Gary,James         Ogle,Lee Wrights,Stephen Durham,"Ross C. ""Rocky"" Anderson",Stewart Alexander,Leon Leo Ray,Ronald Clinton Forbes,Shelley Upchurch,,,,,,
Fresno,"36,674",0,4,0,178,"2,431","44,085",190,"3,815","4,144",0,0,0,262,188,324,0,0,26,103,95,19,35,90,6,8,6,8,8,8,16,22,19,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,4.4%,80.4%,0.3%,7.0%,7.6%,0.0%,0.0%,0.0%,33.9%,24.3%,41.9%,0.0%,0.0%,11.6%,46.0%,42.4%,10.1%,18.6%,47.9%,3.2%,4.3%,3.2%,4.3%,4.3%,4.3%,28.1%,38.6%,33.3%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,"1,134",0,0,1,6,148,"2,189",21,187,333,0,0,0,39,15,35,0,0,3,2,5,1,4,9,0,1,0,0,0,0,2,2,2,0,0,0,,,,,,
  Percent,99.9%,0.0%,0.0%,0.1%,0.2%,5.1%,75.9%,0.7%,6.5%,11.5%,0.0%,0.0%,0.0%,43.8%,16.9%,39.3%,0.0%,0.0%,30.0%,20.0%,50.0%,6.7%,26.7%,60.0%,0.0%,6.7%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,"12,623",0,4,0,34,410,"7,382",57,467,"1,164",0,0,0,68,54,44,0,0,31,305,182,11,20,30,5,3,3,7,4,2,6,13,6,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,4.3%,77.6%,0.6%,4.9%,12.2%,0.0%,0.0%,0.0%,41.0%,32.5%,26.5%,0.0%,0.0%,6.0%,58.9%,35.1%,12.9%,23.5%,35.3%,5.9%,3.5%,3.5%,8.2%,4.7%,2.4%,24.0%,52.0%,24.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,"7,276",0,1,0,35,250,"4,833",54,431,462,0,1,0,73,39,62,0,0,2,4,8,1,2,12,2,1,0,0,2,2,4,7,6,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.6%,4.1%,79.7%,0.9%,7.1%,7.6%,0.0%,0.0%,0.0%,42.0%,22.4%,35.6%,0.0%,0.0%,14.3%,28.6%,57.1%,4.5%,9.1%,54.5%,9.1%,4.5%,0.0%,0.0%,9.1%,9.1%,23.5%,41.2%,35.3%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,"1,393",0,0,0,12,101,"1,951",19,94,236,0,0,0,27,20,26,0,0,2,14,9,4,4,9,2,1,0,3,0,4,2,7,1,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.5%,4.2%,80.9%,0.8%,3.9%,9.8%,0.0%,0.0%,0.0%,37.0%,27.4%,35.6%,0.0%,0.0%,8.0%,56.0%,36.0%,14.8%,14.8%,33.3%,7.4%,3.7%,0.0%,11.1%,0.0%,14.8%,20.0%,70.0%,10.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,"26,779",3,3,2,173,"2,232","43,816",316,"3,515","3,929",0,0,0,363,282,434,0,0,14,53,56,14,53,144,18,15,15,7,12,7,8,24,20,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,4.1%,81.2%,0.6%,6.5%,7.3%,0.0%,0.0%,0.0%,33.6%,26.1%,40.2%,0.0%,0.0%,11.4%,43.1%,45.5%,4.9%,18.6%,50.5%,6.3%,5.3%,5.3%,2.5%,4.2%,2.5%,15.4%,46.2%,38.5%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,"3,906",0,0,0,28,332,"6,408",34,578,500,0,0,0,60,21,56,0,0,1,7,4,3,4,8,3,1,0,1,0,0,2,1,2,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,4.2%,81.3%,0.4%,7.3%,6.3%,0.0%,0.0%,0.0%,43.8%,15.3%,40.9%,0.0%,0.0%,8.3%,58.3%,33.3%,15.0%,20.0%,40.0%,15.0%,5.0%,0.0%,5.0%,0.0%,0.0%,40.0%,20.0%,40.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,"5,459",0,0,0,32,204,"3,458",44,290,758,0,0,0,149,93,179,0,0,22,43,52,4,17,18,3,2,4,1,7,1,4,10,4,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.7%,4.3%,72.3%,0.9%,6.1%,15.8%,0.0%,0.0%,0.0%,35.4%,22.1%,42.5%,0.0%,0.0%,18.8%,36.8%,44.4%,7.0%,29.8%,31.6%,5.3%,3.5%,7.0%,1.8%,12.3%,1.8%,22.2%,55.6%,22.2%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,"1,299",0,0,0,12,232,"2,975",16,265,371,0,0,0,37,30,55,0,0,0,6,5,1,7,6,1,0,0,1,1,2,2,1,0,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,6.0%,76.9%,0.4%,6.8%,9.6%,0.0%,0.0%,0.0%,30.3%,24.6%,45.1%,0.0%,0.0%,0.0%,54.5%,45.5%,5.3%,36.8%,31.6%,5.3%,0.0%,0.0%,5.3%,5.3%,10.5%,66.7%,33.3%,0.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,"432,913",7,17,12,"1,904","10,806","219,198","2,729","14,915","30,253",0,1,0,"2,983","1,656","3,050",0,0,372,"1,268","1,138",247,374,"1,124",106,114,104,129,100,102,222,403,293,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.7%,3.9%,78.3%,1.0%,5.3%,10.8%,0.0%,0.0%,0.0%,38.8%,21.5%,39.7%,0.0%,0.0%,13.4%,45.6%,41.0%,10.3%,15.6%,46.8%,4.4%,4.8%,4.3%,5.4%,4.2%,4.3%,24.2%,43.9%,31.9%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,"5,440",0,0,1,35,519,"8,551",44,837,899,0,0,0,103,68,126,0,0,10,20,15,8,13,24,4,4,1,1,2,1,8,2,4,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,4.8%,78.6%,0.4%,7.7%,8.3%,0.0%,0.0%,0.0%,34.7%,22.9%,42.4%,0.0%,0.0%,22.2%,44.4%,33.3%,13.8%,22.4%,41.4%,6.9%,6.9%,1.7%,1.7%,3.4%,1.7%,57.1%,14.3%,28.6%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,"42,925",1,4,2,72,513,"11,509",138,573,"1,747",0,0,1,124,87,154,0,0,43,281,181,15,25,94,12,6,5,3,10,1,12,20,4,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.5%,3.5%,79.1%,0.9%,3.9%,12.0%,0.0%,0.0%,0.0%,34.0%,23.8%,42.2%,0.0%,0.0%,8.5%,55.6%,35.8%,8.8%,14.6%,55.0%,7.0%,3.5%,2.9%,1.8%,5.8%,0.6%,33.3%,55.6%,11.1%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,"1,556",0,0,0,11,155,"2,163",13,209,309,0,0,0,30,28,25,0,0,5,16,10,7,5,10,1,1,1,0,3,1,0,0,1,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,5.4%,75.6%,0.5%,7.3%,10.8%,0.0%,0.0%,0.0%,36.1%,33.7%,30.1%,0.0%,0.0%,16.1%,51.6%,32.3%,24.1%,17.2%,34.5%,3.4%,3.4%,3.4%,0.0%,10.3%,3.4%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,"9,703",0,0,0,20,171,"3,367",35,265,754,0,0,0,64,54,63,0,0,27,137,169,7,11,33,0,2,1,2,3,5,8,15,6,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,3.7%,73.0%,0.8%,5.7%,16.3%,0.0%,0.0%,0.0%,35.4%,29.8%,34.8%,0.0%,0.0%,8.1%,41.1%,50.8%,10.9%,17.2%,51.6%,0.0%,3.1%,1.6%,3.1%,4.7%,7.8%,27.6%,51.7%,20.7%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,"8,119",0,0,1,42,497,"8,160",65,751,944,0,0,0,102,50,117,0,0,2,18,15,4,6,22,2,2,3,5,2,1,9,9,6,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,4.8%,78.0%,0.6%,7.2%,9.0%,0.0%,0.0%,0.0%,37.9%,18.6%,43.5%,0.0%,0.0%,5.7%,51.4%,42.9%,8.5%,12.8%,46.8%,4.3%,4.3%,6.4%,10.6%,4.3%,2.1%,37.5%,37.5%,25.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,453,0,0,0,3,111,"1,184",6,96,128,0,0,0,11,7,11,0,0,0,2,5,0,1,4,0,2,1,0,0,0,0,1,0,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.2%,7.3%,77.5%,0.4%,6.3%,8.4%,0.0%,0.0%,0.0%,37.9%,24.1%,37.9%,0.0%,0.0%,0.0%,28.6%,71.4%,0.0%,12.5%,50.0%,0.0%,25.0%,12.5%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,930,0,0,0,3,58,949,4,63,129,0,0,0,9,12,12,0,0,0,6,5,0,1,5,1,0,1,0,0,1,2,2,0,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.2%,4.8%,78.7%,0.3%,5.2%,10.7%,0.0%,0.0%,0.0%,27.3%,36.4%,36.4%,0.0%,0.0%,0.0%,54.5%,45.5%,0.0%,11.1%,55.6%,11.1%,0.0%,11.1%,0.0%,0.0%,11.1%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,"28,336",0,0,0,117,644,"13,189",121,917,"2,491",0,0,0,265,140,178,0,0,29,82,97,19,20,52,4,5,1,6,1,7,9,6,7,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.7%,3.7%,75.5%,0.7%,5.2%,14.3%,0.0%,0.0%,0.0%,45.5%,24.0%,30.5%,0.0%,0.0%,13.9%,39.4%,46.6%,16.5%,17.4%,45.2%,3.5%,4.3%,0.9%,5.2%,0.9%,6.1%,40.9%,27.3%,31.8%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,"13,383",0,0,0,45,346,"6,879",96,530,"1,171",0,0,0,104,71,101,0,0,13,103,45,4,13,36,4,1,0,4,3,1,5,14,5,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.5%,3.8%,75.9%,1.1%,5.8%,12.9%,0.0%,0.0%,0.0%,37.7%,25.7%,36.6%,0.0%,0.0%,8.1%,64.0%,28.0%,6.1%,19.7%,54.5%,6.1%,1.5%,0.0%,6.1%,4.5%,1.5%,20.8%,58.3%,20.8%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"9,618",0,1,1,21,539,"10,761",52,608,"1,424",0,0,0,75,60,73,0,0,13,115,86,9,17,42,9,3,4,2,4,3,5,4,6,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.2%,4.0%,80.3%,0.4%,4.5%,10.6%,0.0%,0.0%,0.0%,36.1%,28.8%,35.1%,0.0%,0.0%,6.1%,53.7%,40.2%,9.7%,18.3%,45.2%,9.7%,3.2%,4.3%,2.2%,4.3%,3.2%,33.3%,26.7%,40.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,"115,095",1,12,5,728,"7,161","183,293","1,042","9,572","20,628",0,0,0,"1,204",835,"1,292",1,0,108,324,247,133,169,745,60,50,53,44,59,47,74,100,73,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,3.2%,82.4%,0.5%,4.3%,9.3%,0.0%,0.0%,0.0%,36.1%,25.1%,38.8%,0.0%,0.0%,15.9%,47.7%,36.4%,9.8%,12.4%,54.8%,4.4%,3.7%,3.9%,3.2%,4.3%,3.5%,30.0%,40.5%,29.6%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,"23,987",0,5,4,116,"1,522","37,895",181,"2,010","4,335",0,0,0,207,124,222,0,0,26,85,54,22,34,118,15,10,9,9,10,5,11,16,6,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,3.3%,82.3%,0.4%,4.4%,9.4%,0.0%,0.0%,0.0%,37.4%,22.4%,40.1%,0.0%,0.0%,15.8%,51.5%,32.7%,9.5%,14.7%,50.9%,6.5%,4.3%,3.9%,3.9%,4.3%,2.2%,33.3%,48.5%,18.2%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,"1,936",0,0,0,3,134,"2,479",6,145,322,0,0,0,28,20,28,0,0,4,7,8,2,2,4,0,1,1,1,6,1,0,4,0,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.1%,4.3%,80.3%,0.2%,4.7%,10.4%,0.0%,0.0%,0.0%,36.8%,26.3%,36.8%,0.0%,0.0%,21.1%,36.8%,42.1%,11.1%,11.1%,22.2%,0.0%,5.6%,5.6%,5.6%,33.3%,5.6%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,"73,632",3,8,2,368,"4,578","93,165",677,"5,788","10,106",1,0,2,998,490,961,0,0,51,147,169,41,91,267,46,21,13,20,18,17,33,61,44,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,4.0%,81.2%,0.6%,5.0%,8.8%,0.0%,0.0%,0.0%,40.8%,20.0%,39.2%,0.0%,0.0%,13.9%,40.1%,46.0%,7.7%,17.0%,50.0%,8.6%,3.9%,2.4%,3.7%,3.4%,3.2%,23.9%,44.2%,31.9%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,"97,334",4,12,5,393,"2,875","67,382",522,"3,810","8,743",0,0,0,733,476,784,0,0,89,354,249,34,75,302,33,45,20,22,22,13,41,77,76,1,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.5%,3.4%,80.5%,0.6%,4.6%,10.4%,0.0%,0.0%,0.0%,36.8%,23.9%,39.3%,0.0%,0.0%,12.9%,51.2%,36.0%,6.0%,13.3%,53.4%,5.8%,8.0%,3.5%,3.9%,3.9%,2.3%,21.0%,39.5%,39.0%,0.5%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,"3,845",0,0,0,16,150,"2,585",17,208,372,0,0,0,31,21,31,0,0,4,13,7,0,10,10,1,1,1,0,0,0,3,1,0,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.5%,4.5%,77.2%,0.5%,6.2%,11.1%,0.0%,0.0%,0.0%,37.3%,25.3%,37.3%,0.0%,0.0%,16.7%,54.2%,29.2%,0.0%,43.5%,43.5%,4.3%,4.3%,4.3%,0.0%,0.0%,0.0%,75.0%,25.0%,0.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,"59,969",0,2,2,373,"3,199","69,415",532,"5,174","9,010",0,0,0,681,463,722,0,0,35,148,125,46,81,224,36,21,17,18,23,17,24,48,25,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,3.6%,79.1%,0.6%,5.9%,10.3%,0.0%,0.0%,0.0%,36.5%,24.8%,38.7%,0.0%,0.0%,11.4%,48.1%,40.6%,9.5%,16.8%,46.4%,7.5%,4.3%,3.5%,3.7%,4.8%,3.5%,24.7%,49.5%,25.8%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,"183,667",4,26,8,675,"6,832","188,292",998,"9,646","22,411",0,0,0,"1,561","1,120","1,662",1,1,165,564,486,155,203,809,63,77,59,54,59,39,54,106,71,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.3%,3.0%,82.3%,0.4%,4.2%,9.8%,0.0%,0.0%,0.0%,35.9%,25.8%,38.3%,0.0%,0.0%,13.6%,46.4%,40.0%,10.2%,13.4%,53.3%,4.2%,5.1%,3.9%,3.6%,3.9%,2.6%,23.4%,45.9%,30.7%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,"47,033",0,10,4,104,480,"8,548",120,550,"2,087",0,1,0,189,147,243,0,0,75,597,496,11,35,129,5,17,7,15,11,12,73,44,43,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.9%,4.0%,71.9%,1.0%,4.6%,17.6%,0.0%,0.0%,0.0%,32.6%,25.4%,42.0%,0.0%,0.0%,6.4%,51.1%,42.5%,4.5%,14.5%,53.3%,2.1%,7.0%,2.9%,6.2%,4.5%,5.0%,45.6%,27.5%,26.9%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,"34,544",4,8,2,146,"1,565","31,087",214,"2,304","3,850",0,0,4,300,208,355,0,2,8,52,52,12,28,86,9,7,11,10,7,4,7,21,15,0,0,1,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,4.0%,79.4%,0.5%,5.9%,9.8%,0.0%,0.0%,0.0%,34.7%,24.0%,41.0%,0.0%,0.2%,7.1%,46.4%,46.4%,6.9%,16.1%,49.4%,5.2%,4.0%,6.3%,5.7%,4.0%,2.3%,15.9%,47.7%,34.1%,0.0%,0.0%,2.3%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,"24,453",1,1,0,140,"1,173","24,277",165,"1,976","3,812",0,0,0,164,130,164,0,0,41,176,97,5,38,103,9,22,8,5,8,12,8,16,11,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,3.7%,77.0%,0.5%,6.3%,12.1%,0.0%,0.0%,0.0%,35.8%,28.4%,35.8%,0.0%,0.0%,13.1%,56.1%,30.9%,2.4%,18.1%,49.0%,4.3%,10.5%,3.8%,2.4%,3.8%,5.7%,22.9%,45.7%,31.4%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
