"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"Placer","375","248,397","202,876","59,514","85,666","145,180","59.01%","71.56%","58.45%"
"Plumas","29","15,445","13,055","2,912","6,483","9,395","69.00%","71.96%","60.83%"
"Riverside","1,492","1,304,845","857,839","255,279","236,761","492,040","48.12%","57.36%","37.71%"
"Sacramento","1,158","941,477","678,923","202,478","226,065","428,543","52.75%","63.12%","45.52%"
"San Benito","55","34,692","25,352","8,763","7,657","16,420","46.63%","64.77%","47.33%"
"San Bernardino","1,414","1,234,760","806,163","249,366","195,934","445,300","44.00%","55.24%","36.06%"
"San Diego","2,050","2,099,557","1,442,161","416,188","510,175","926,363","55.07%","64.23%","44.12%"
"San Francisco","590","620,651","461,768","141,319","143,306","284,625","50.35%","61.64%","45.86%"
"San Joaquin","496","415,708","269,777","64,981","96,533","161,514","59.77%","59.87%","38.85%"
"San Luis Obispo","157","196,365","156,504","44,699","63,303","108,002","58.61%","69.01%","55.00%"
"San Mateo","457","488,810","346,516","108,416","117,843","226,259","52.08%","65.30%","46.29%"
"Santa Barbara","318","280,517","198,457","57,025","77,405","134,430","57.58%","67.74%","47.92%"
"Santa Clara","1,234","1,139,951","779,330","164,989","358,438","523,427","68.48%","67.16%","45.92%"
"Santa Cruz","242","182,864","148,501","47,636","50,401","98,037","51.41%","66.02%","53.61%"
"Shasta","114","133,134","96,463","28,511","37,991","66,502","57.13%","68.94%","49.95%"
"Sierra","22","2,479","2,298","0","1,881","1,881","100.00%","81.85%","75.88%"
"Siskiyou","63","33,881","25,919","6,507","12,214","18,721","65.24%","72.23%","55.26%"
"Solano","194","274,565","196,133","52,618","67,664","120,282","56.25%","61.33%","43.81%"
"Sonoma","397","339,466","248,273","68,332","118,588","186,920","63.44%","75.29%","55.06%"
"Stanislaus","390","324,720","229,109","43,932","78,558","122,490","64.13%","53.46%","37.72%"
"Sutter","76","62,506","40,140","8,323","17,841","26,164","68.19%","65.18%","41.86%"
"Tehama","46","43,354","31,163","8,340","12,225","20,565","59.45%","65.99%","47.44%"
"Trinity","24","10,650","7,642","1,957","3,755","5,712","65.74%","74.74%","53.63%"
"Tulare","226","248,522","149,667","49,958","33,150","83,108","39.89%","55.53%","33.44%"
"Tuolumne","60","38,476","31,891","10,079","12,756","22,835","55.86%","71.60%","59.35%"
"Ventura","549","532,050","423,994","135,030","129,801","264,831","49.01%","62.46%","49.78%"
"Yolo","143","132,225","102,160","30,801","30,095","60,896","49.42%","59.61%","46.05%"
"Yuba","47","46,029","28,677","7,144","9,384","16,528","56.78%","57.64%","35.91%"
"State Total","24,845","23,551,699","17,285,883","5,310,540","","4,989,852 10,300,392","","",""
"Percent","","","73.40%","51.56%","48.44%","","48.44%","59.59%","43.74%"
