"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"Orange","1,977","1,925,205","1,683,001","552,018","581,186","1,133,204","51.29%","67.33%","58.86%"
"Placer","350","251,135","208,604","57,171","115,586","172,757","66.91%","82.82%","68.79%"
"Plumas","29","15,798","13,229","2,937","7,209","10,146","71.05%","76.70%","64.22%"
"Riverside","1,218","1,358,695","943,405","298,112","371,515","669,627","55.48%","70.98%","49.28%"
"Sacramento","1,106","944,243","698,899","216,021","306,024","522,045","58.62%","74.70%","55.29%"
"San Benito","44","33,536","26,580","6,795","12,454","19,249","64.70%","72.42%","57.40%"
"San Bernardino","1,609","1,259,676","851,581","306,324","283,287","589,611","48.05%","69.24%","46.81%"
"San Diego","2,064","2,094,093","1,563,093","528,258","675,007","1,203,265","56.10%","76.98%","57.46%"
"San Francisco","597","603,201","500,107","171,679","193,196","364,875","52.95%","72.96%","60.49%"
"San Joaquin","430","419,824","293,004","73,907","132,936","206,843","64.27%","70.59%","49.27%"
"San Luis Obispo","147","201,390","158,603","46,578","80,240","126,818","63.27%","79.96%","62.97%"
"San Mateo","468","479,562","361,486","119,212","169,380","288,592","58.69%","79.83%","60.18%"
"Santa Barbara","257","276,452","203,994","67,792","97,185","164,977","58.91%","80.87%","59.68%"
"Santa Clara","1,000","1,122,390","817,837","195,354","457,885","653,239","70.09%","79.87%","58.20%"
"Santa Cruz","253","183,151","158,524","56,951","64,372","121,323","53.06%","76.53%","66.24%"
"Shasta","142","133,808","100,235","28,619","48,559","77,178","62.92%","77.00%","57.68%"
"Sierra","22","2,548","2,326","0","1,822","1,822","100.00%","78.33%","71.51%"
"Siskiyou","60","34,444","25,868","6,475","13,705","20,180","67.91%","78.01%","58.59%"
"Solano","199","274,284","209,484","65,841","88,082","153,923","57.22%","73.48%","56.12%"
"Sonoma","433","339,309","260,315","63,267","155,553","218,820","71.09%","84.06%","64.49%"
"Stanislaus","388","322,964","232,909","49,833","107,102","156,935","68.25%","67.38%","48.59%"
"Sutter","57","59,275","42,194","10,012","21,288","31,300","68.01%","74.18%","52.80%"
"Tehama","46","43,306","31,174","8,032","15,229","23,261","65.47%","74.62%","53.71%"
"Trinity","25","11,343","8,046","1,759","4,055","5,814","69.75%","72.26%","51.26%"
"Tulare","263","252,258","145,348","40,904","61,280","102,184","59.97%","70.30%","40.51%"
"Tuolumne","73","39,259","31,769","5,938","19,215","25,153","76.39%","79.17%","64.07%"
"Ventura","630","534,607","426,948","165,488","164,931","330,419","49.92%","77.39%","61.81%"
"Yolo","117","137,680","102,186","34,002","41,311","75,313","54.85%","73.70%","54.70%"
"Yuba","46","47,074","30,115","8,253","11,720","19,973","58.68%","66.32%","42.43%"
"State Total","24,491","23,802,577","18,245,970","6,448,470","","6,753,688 13,202,158","","",""
"Percent","","","76.66%","48.84%","51.16%","","51.16%","72.36%","55.47%"
