"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"Placer","301","257,989","200,829","13,633","56,383","70,016","80.53%","34.86%","27.14%"
"Plumas","29","15,383","12,030","983","4,242","5,225","81.19%","43.43%","33.97%"
"Riverside","847","1,387,385","887,643","50,111","147,991","198,102","74.70%","22.32%","14.28%"
"Sacramento","1,102","957,597","688,443","57,425","146,425","203,850","71.83%","29.61%","21.29%"
"San Benito","35","34,480","23,778","1,860","5,714","7,574","75.44%","31.85%","21.97%"
"San Bernardino","1,662","1,269,053","851,326","47,896","112,846","160,742","70.20%","18.88%","12.67%"
"San Diego","1,616","2,124,563","1,544,841","113,714","306,986","420,700","72.97%","27.23%","19.80%"
"San Francisco","597","622,063","434,922","39,406","89,993","129,399","69.55%","29.75%","20.80%"
"San Joaquin","501","426,618","293,837","16,201","64,650","80,851","79.96%","27.52%","18.95%"
"San Luis Obispo","151","202,445","150,302","15,684","46,626","62,310","74.83%","41.46%","30.78%"
"San Mateo","475","488,370","354,994","21,484","75,963","97,447","77.95%","27.45%","19.95%"
"Santa Barbara","200","280,119","193,900","18,453","54,683","73,136","74.77%","37.72%","26.11%"
"Santa Clara","1,026","1,150,600","805,922","50,290","213,843","264,133","80.96%","32.77%","22.96%"
"Santa Cruz","200","186,842","141,105","17,961","31,182","49,143","63.45%","34.83%","26.30%"
"Shasta","122","135,021","98,772","6,787","23,540","30,327","77.62%","30.70%","22.46%"
"Sierra","22","2,508","2,209","0","1,413","1,413","100.00%","63.97%","56.34%"
"Siskiyou","57","35,106","24,833","3,085","8,419","11,504","73.18%","46.33%","32.77%"
"Solano","174","282,938","201,728","12,872","41,534","54,406","76.34%","26.97%","19.23%"
"Sonoma","366","341,221","241,005","18,564","80,164","98,728","81.20%","40.97%","28.93%"
"Stanislaus","357","325,894","211,330","10,131","45,704","55,835","81.86%","26.42%","17.13%"
"Sutter","53","59,670","42,218","3,369","11,977","15,346","78.05%","36.35%","25.72%"
"Tehama","46","43,659","30,492","3,416","9,600","13,016","73.76%","42.69%","29.81%"
"Trinity","25","11,087","7,062","992","2,855","3,847","74.21%","54.47%","34.70%"
"Tulare","133","255,422","137,306","12,251","31,622","43,873","72.08%","31.95%","17.18%"
"Tuolumne","73","39,644","29,880","2,142","10,188","12,330","82.63%","41.27%","31.10%"
"Ventura","554","540,235","427,349","34,166","69,204","103,370","66.95%","24.19%","19.13%"
"Yolo","128","140,471","101,854","11,534","22,023","33,557","65.63%","32.95%","23.89%"
"Yuba","45","47,737","27,122","2,692","6,096","8,788","69.37%","32.40%","18.41%"
"State Total","22,353","24,192,752","17,722,006","1,365,242","3,096,104","4,461,346","","",""
"Percent","","","73.25%","30.60%","69.40%","","69.40%","25.17%","18.44%"
