"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"Placer","368","259,591","200,422","31,546","84,001","115,547","72.70%","57.65%","44.51%"
"Plumas","29","15,299","11,831","1,722","5,521","7,243","76.23%","61.22%","47.34%"
"Riverside","1,193","1,394,302","891,575","124,829","232,935","357,764","65.11%","40.13%","25.66%"
"Sacramento","1,263","961,112","683,632","111,628","219,189","330,817","66.26%","48.39%","34.42%"
"San Benito","44","34,594","24,251","4,551","9,484","14,035","67.57%","57.87%","40.57%"
"San Bernardino","1,737","1,273,684","851,684","117,179","176,104","293,283","60.05%","34.44%","23.03%"
"San Diego","2,001","2,135,863","1,546,924","242,638","449,796","692,434","64.96%","44.76%","32.42%"
"San Francisco","597","625,446","433,844","94,995","136,219","231,214","58.91%","53.29%","36.97%"
"San Joaquin","498","428,595","297,425","32,135","87,037","119,172","73.03%","40.07%","27.81%"
"San Luis Obispo","163","202,600","150,139","25,417","62,288","87,705","71.02%","58.42%","43.29%"
"San Mateo","475","490,797","355,598","54,056","110,397","164,453","67.13%","46.25%","33.51%"
"Santa Barbara","250","281,167","196,998","36,803","77,303","114,106","67.75%","57.92%","40.58%"
"Santa Clara","1,066","1,157,944","805,502","96,077","308,089","404,166","76.23%","50.18%","34.90%"
"Santa Cruz","235","187,844","142,316","30,296","43,744","74,040","59.08%","52.03%","39.42%"
"Shasta","132","135,199","97,933","18,692","40,010","58,702","68.16%","59.94%","43.42%"
"Sierra","22","2,502","2,229","0","1,627","1,627","100.00%","72.99%","65.03%"
"Siskiyou","59","35,187","24,840","4,136","10,123","14,259","70.99%","57.40%","40.52%"
"Solano","179","284,151","200,147","26,318","65,001","91,319","71.18%","45.63%","32.14%"
"Sonoma","417","341,804","244,448","34,870","111,757","146,627","76.22%","59.98%","42.90%"
"Stanislaus","357","326,747","214,209","23,532","69,206","92,738","74.63%","43.29%","28.38%"
"Sutter","58","59,786","41,608","5,119","15,911","21,030","75.66%","50.54%","35.18%"
"Tehama","46","43,727","30,169","4,527","11,264","15,791","71.33%","52.34%","36.11%"
"Trinity","25","11,089","7,213","1,026","2,977","4,003","74.37%","55.50%","36.10%"
"Tulare","221","256,248","137,695","19,676","43,244","62,920","68.73%","45.70%","24.55%"
"Tuolumne","73","39,669","29,274","3,586","13,839","17,425","79.42%","59.52%","43.93%"
"Ventura","614","542,109","433,064","84,672","119,111","203,783","58.45%","47.06%","37.59%"
"Yolo","122","140,889","101,032","17,476","28,980","46,456","62.38%","45.98%","32.97%"
"Yuba","45","47,855","26,918","4,378","8,343","12,721","65.58%","47.26%","26.58%"
"State Total","24,435","24,288,145","17,803,823","2,966,267","4,547,705","7,513,972","","",""
"Percent","","","73.30%","39.48%","60.52%","","60.52%","42.20%","30.94%"
