"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"Placer","281","249,916","194,705","21,276","67,743","89,019","76.10%","45.72%","35.62%"
"Plumas","29","15,858","12,894","1,564","4,996","6,560","76.16%","50.88%","41.37%"
"Riverside","853","1,351,562","852,217","70,045","168,107","238,152","70.59%","27.94%","17.62%"
"Sacramento","1,041","941,160","653,391","71,640","161,103","232,743","69.22%","35.62%","24.73%"
"San Benito","42","33,439","24,899","2,581","6,664","9,245","72.08%","37.13%","27.65%"
"San Bernardino","1,567","1,253,049","815,087","70,533","122,984","193,517","63.55%","23.74%","15.44%"
"San Diego","1,643","2,084,578","1,465,269","187,942","360,520","548,462","65.73%","37.43%","26.31%"
"San Francisco","601","601,851","470,606","49,779","95,326","145,105","65.69%","30.83%","24.11%"
"San Joaquin","418","417,819","271,250","22,615","71,824","94,439","76.05%","34.82%","22.60%"
"San Luis Obispo","141","200,531","147,276","19,592","51,973","71,565","72.62%","48.59%","35.69%"
"San Mateo","467","477,460","337,757","33,793","89,537","123,330","72.60%","36.51%","25.83%"
"Santa Barbara","264","275,629","191,061","25,836","59,599","85,435","69.76%","44.72%","31.00%"
"Santa Clara","874","1,116,131","755,117","55,518","237,195","292,713","81.03%","38.76%","26.23%"
"Santa Cruz","183","182,516","146,980","23,671","34,855","58,526","59.55%","39.82%","32.07%"
"Shasta","129","133,615","96,366","13,650","31,583","45,233","69.82%","46.94%","33.85%"
"Sierra","22","2,560","2,247","0","1,331","1,331","100.00%","59.23%","51.99%"
"Siskiyou","59","34,500","25,343","3,253","8,830","12,083","73.08%","47.68%","35.02%"
"Solano","176","273,871","197,604","18,688","50,179","68,867","72.86%","34.85%","25.15%"
"Sonoma","374","338,678","248,216","28,216","87,647","115,863","75.65%","46.68%","34.21%"
"Stanislaus","387","321,774","220,521","14,365","55,456","69,821","79.43%","31.66%","21.70%"
"Sutter","57","59,158","40,255","4,275","13,016","17,291","75.28%","42.95%","29.23%"
"Tehama","46","43,209","30,476","3,687","10,281","13,968","73.60%","45.83%","32.33%"
"Trinity","25","11,348","7,948","1,120","2,948","4,068","72.47%","51.18%","35.85%"
"Tulare","138","250,747","139,946","12,503","29,098","41,601","69.95%","29.73%","16.59%"
"Tuolumne","70","39,418","31,287","3,418","12,656","16,074","78.74%","51.38%","40.78%"
"Ventura","573","532,967","406,644","52,883","80,917","133,800","60.48%","32.90%","25.10%"
"Yolo","117","137,308","96,961","13,700","22,877","36,577","62.54%","37.72%","26.64%"
"Yuba","46","46,892","28,977","3,614","6,785","10,399","65.25%","35.89%","22.18%"
"State Total","21,993","23,713,027","17,153,699","1,856,726","3,471,570","5,328,296","","",""
"Percent","","","72.34%","34.85%","65.15%","","65.15%","31.06%","22.47%"
