"","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","","",""
"Placer","316","262,922","210,913","30,302","84,964","115,266","73.71%","54.65%","43.84%"
"Plumas","29","16,056","11,839","0","7,281","7,281","100.00%","61.50%","45.35%"
"Riverside","869","1,429,960","909,922","127,086","276,742","403,828","68.53%","44.38%","28.24%"
"Sacramento","1,172","984,952","715,975","112,023","228,337","340,360","67.09%","47.54%","34.56%"
"San Benito","39","33,943","25,645","4,081","9,556","13,637","70.07%","53.18%","40.18%"
"San Bernardino","1,772","1,304,484","784,130","139,426","200,328","339,754","58.96%","43.33%","26.05%"
"San Diego","1,726","2,183,908","1,523,251","285,370","490,560","775,930","63.22%","50.94%","35.53%"
"San Francisco","597","644,082","462,927","105,039","159,954","264,993","60.36%","57.24%","41.14%"
"San Joaquin","426","440,325","309,865","38,779","90,272","129,051","69.95%","41.65%","29.31%"
"San Luis Obispo","143","207,330","155,801","26,108","69,128","95,236","72.59%","61.13%","45.93%"
"San Mateo","468","501,875","367,155","63,006","127,127","190,133","66.86%","51.79%","37.88%"
"Santa Barbara","203","289,082","201,865","38,157","80,817","118,974","67.93%","58.94%","41.16%"
"Santa Clara","932","1,186,947","788,063","110,976","319,803","430,779","74.24%","54.66%","36.29%"
"Santa Cruz","186","189,639","145,809","37,571","57,357","94,928","60.42%","65.10%","50.06%"
"Shasta","121","134,243","96,310","14,193","36,441","50,634","71.97%","52.57%","37.72%"
"Sierra","22","2,613","2,217","0","1,517","1,517","100.00%","68.43%","58.06%"
"Siskiyou","58","34,648","26,480","4,545","12,122","16,667","72.73%","62.94%","48.10%"
"Solano","165","288,220","209,339","30,847","69,334","100,181","69.21%","47.86%","34.76%"
"Sonoma","361","349,571","253,860","38,296","126,630","164,926","76.78%","64.97%","47.18%"
"Stanislaus","341","335,349","219,464","24,329","73,182","97,511","75.05%","44.43%","29.08%"
"Sutter","49","60,702","42,351","4,643","15,577","20,220","77.04%","47.74%","33.31%"
"Tehama","46","43,656","30,724","4,187","11,390","15,577","73.12%","50.70%","35.68%"
"Trinity","25","11,321","7,701","1,126","3,362","4,488","74.91%","58.28%","39.64%"
"Tulare","138","259,884","142,426","18,883","44,819","63,702","70.36%","44.73%","24.51%"
"Tuolumne","73","41,143","29,472","3,658","13,888","17,546","79.15%","59.53%","42.65%"
"Ventura","568","548,937","413,045","79,634","134,280","213,914","62.77%","51.79%","38.97%"
"Yolo","132","146,291","100,163","23,471","30,308","53,779","56.36%","53.69%","36.76%"
"Yuba","45","48,203","31,004","5,037","9,922","14,959","66.33%","48.25%","31.03%"
"State Total","22,356","24,783,789","17,915,053","3,512,039","5,036,262","8,548,301","","",""
"Percent","","","72.29%","41.08%","58.92%","","58.92%","47.72%","34.49%"
