"r","","","","","","","","",""
"","","","Voier Participation Statistics  by County","","","","","",""
"","San Francisco","556 
467,029","4SO.649","","74,494","249,669","","",""
"","","","","175~175","","","55.40","","53.46"
"","Sanloaquin","516 
316,721","232.747","95,782","35,561","","","",""
"","","","","","","131,343","56.45","","41.48"
"","San Lui. Obispo","241 
170,883","128,136","59,511","28,673","","","",""
"","","","","","","88,184","68.82","","51.60"
"","San Mateo.","552 
440,620","340,661","164,574","55,617","","","",""
"","","","","","","220,191","64.64","","49.97"
"","Santa Barbara","479 
256,987","218,859","100,098","34,097","134,195","","",""
"","","","","","","","61.32","","52.22"
"","Santa Clara","1,386 
940,561","786,003","381,922","79,903","","","",""
"","","","","","","461,825","58.76","","49.10"
"","Santa Cruz","257 
155,583","140,960","62,964","30,680","93,644","66;43","",""
"","","","","","","","","","60.19"
"","Shasta","136 
116:H1","84,so3","42,721","13,418","56,139","","",""
"","","","","","","","66.43","","47.98"
"","Sierra","17 
2,424","2,275","1,142","535","","","",""
"","","","","","","1,677","74.71","","69.18"
"","Siskiyou","79 
33,078","24,990","13,006","5,844","","","",""
"","","","","","","18,8SO","75.43","","56.99"
"","Solano","263 
247,354","167,369","80,708","20,403","","","",""
"","","","","","","101,111","60.41","","40.88"
"","Sonoma","S85 
293,670","245,m","110,171","52,609","","","",""
"","","","","","","162,780","6623","","55.43"
"","Stanialaua","284 
248.832","172,490","65,018","37,400","","","",""
"","","","","","","102,418","59.38","","41.16"
"","Sutter","58 
45,120","34,360","15,893","6,734","","","",""
"","","","","","","22,627","65.85","","SO.15"
"","Tehama","54 
37,793","26,677","14,937","3,966","","","",""
"","","","","","","18,903","70.86","","SO.02"
"","Trinity","31 
10,028","8,058","3,415","2,100","","","",""
"","","","","","","5,515","68.44","","55.00"
"","Tulare","277 
195,s09","127,675","62,474","17,720","","","",""
"","","","","","","80,194","62.81","","41.02"
"","Tuolumne","71 
40,433","29,603","13,843","6,192","","67.68",".",""
"","","","","","","20,035","","","49.55"
"","v,","","","","","","","",""
"","entura","611 
436,5SO","351,921","173,846","48,295","","","",""
"","","","","","","222,141","63.12","","SO.89"
"","Yolo","ISO 
102,205","80,984","39,798","10,411","","","",""
"","","","","","","SO,209","62.00","","49.13"
"","Yuba","44 
38,458","24,409","11,682","2,818","","","",""
"","","","","","","14,soo","59.40","","37.70"
"","State  Total.","25,382 
18,946,358","14,723,784","6,891,046","2,009,586","8,900,632","","",""
"","","","","","","","60.45","","46.98"
"","Pwcont","","77.71","77.95","22.05","","","",""
