"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"Placer","312","274,752","223,963","26,255","82,842","109,097","75.93%","48.71%","39.71%"
"Plumas","29","15,945","12,152","0**","6,664","6,664","100.00%","54.84%","41.79%"
"Riverside","826","1,472,819","984,214","91,667","254,805","346,472","73.54%","35.20%","23.52%"
"Sacramento","573","1,009,125","741,260","18,104","292,777","310,881","94.18%","41.94%","30.81%"
"San Benito","31","34,191","28,718","1,905","10,682","12,587","84.87%","43.83%","36.81%"
"San Bernardino","1,856","1,325,471","901,081","93,181","187,864","281,045","66.84%","31.19%","21.20%"
"San Diego","1,705","2,216,211","1,683,430","197,501","476,139","673,640","70.68%","40.02%","30.40%"
"San Francisco","604","657,193","481,977","89,756","163,827","253,583","64.60%","52.61%","38.59%"
"San Joaquin","521","455,449","334,771","25,843","82,117","107,960","76.06%","32.25%","23.70%"
"San Luis Obispo","144","208,847","166,592","20,451","67,019","87,470","76.62%","52.51%","41.88%"
"San Mateo","477","506,481","388,456","12,637","159,531","172,168","92.66%","44.32%","33.99%"
"Santa Barbara","196","293,209","206,110","22,978","69,941","92,919","75.27%","45.08%","31.69%"
"Santa Clara","988","1,203,427","846,228","73,948","295,384","369,332","79.98%","43.64%","30.69%"
"Santa Cruz","193","189,708","152,497","24,770","47,612","72,382","65.78%","47.46%","38.15%"
"Shasta","120","134,076","99,731","14,813","32,016","46,829","68.37%","46.96%","34.93%"
"Sierra","23","2,619","2,155","0**","1,560","1,560","100.00%","72.39%","59.56%"
"Siskiyou","56","34,520","27,311","3,020","8,776","11,796","74.40%","43.19%","34.17%"
"Solano","167","293,295","220,857","21,251","62,506","83,757","74.63%","37.92%","28.56%"
"Sonoma","405","349,475","270,740","24,322","110,136","134,458","81.91%","49.66%","38.47%"
"Stanislaus","327","344,968","236,613","19,704","70,132","89,836","78.07%","37.97%","26.04%"
"Sutter","50","60,563","44,625","4,419","16,719","21,138","79.09%","47.37%","34.90%"
"Tehama","46","43,835","32,523","3,758","10,975","14,733","74.49%","45.30%","33.61%"
"Trinity","25","11,299","7,735","1,083","3,231","4,314","74.90%","55.77%","38.18%"
"Tulare","111","265,068","161,740","13,913","43,973","57,886","75.96%","35.79%","21.84%"
"Tuolumne","73","41,140","30,932","2,699","13,440","16,139","83.28%","52.18%","39.23%"
"Ventura","574","549,893","433,496","57,259","112,022","169,281","66.18%","39.05%","30.78%"
"Yolo","138","150,863","111,128","17,500","30,702","48,202","63.69%","43.38%","31.95%"
"Yuba","33","48,356","32,745","3,512","8,789","12,301","71.45%","37.57%","25.44%"
"State Total","21,487","25,119,238","19,023,417","2,307,012","4,834,975","7,141,987","","",""
"Percent","","","75.73%","32.30%","67.70%","","67.70%","37.54%","28.43%"
